size_bytes,mtime_date,mtime_time,filename,extension,disassembled_status,priority_note
"32019330","2026-05-16","16:42","kz.slando_5.143.4-7271_3arch_7dpi_d4f44cac964457b1ad6977ae49d409fc_apkmirror.com.apkm","apkm","not_checked","horizontal marketplace app; useful for app-tier endpoint reconnaissance"
"10522024","2026-05-16","15:46","Medimops App_1.1.0_APKPure.xapk","xapk","not_checked","book/recommerce operator app candidate"
"151802695","2026-05-16","16:15","mercadolivre-v10-507-1.zip","zip","not_checked","horizontal marketplace app; useful for app-tier endpoint reconnaissance"
"84817388","2026-05-16","16:34","Milay_ Buy&Sell Online_6.0.2.0_APKPure.xapk","xapk","not_checked","unclassified; inspect before disassembly priority"
"12960278","2026-05-16","15:46","momox - Sell books, CD's, DVD's, games_3.7.5_APKPure.apk","apk","not_checked","book/recommerce operator app candidate"
"80046712","2026-05-16","15:46","momox_ sell books & fashion_5.7.0-release_APKPure.apk","apk","not_checked","book/recommerce operator app candidate"
"36150757","2026-05-16","15:07","NadirKitap_5.5.84_APKPure.xapk","xapk","not_checked","book/recommerce operator app candidate"
"117180501","2026-05-16","16:00","PangoBooks_ Buy & Sell Books_3.0.7_APKPure.xapk","xapk","not_checked","book/recommerce operator app candidate"
"88495136","2026-05-16","15:09","pl.allegro_9.73.0-97300_4arch_7dpi_ecbb0803cd6ba016c6237cfe8ca8113a_apkmirror.com.apkm","apkm","not_checked","horizontal marketplace app; useful for app-tier endpoint reconnaissance"
"90561426","2026-05-16","16:42","pl.tablica_5.158.2-7712_3arch_7dpi_860d692bb501f22afc601af2de874944_apkmirror.com.apkm","apkm","not_checked","unclassified; inspect before disassembly priority"
"17478732","2026-05-15","09:23","Pustak+Market_15.0.22_apkcombo.com.xapk","xapk","not_checked","book-first or known blocked target candidate"
"51150866","2026-05-16","15:47","rebuy - Kaufen & Verkaufen_2026.05.5297_APKPure.xapk","xapk","not_checked","book/recommerce operator app candidate"
"45331386","2026-05-16","16:44","ro.mercador_5.113.2-6370_minAPI24(arm64-v8a,armeabi-v7a,x86,x86_64)(nodpi)_apkmirror.com.apk","apk","not_checked","horizontal marketplace app; useful for app-tier endpoint reconnaissance"
"22556132","2026-05-16","16:26","Takealot – Online Shopping App_3.53.0_APKPure.xapk","xapk","not_checked","unclassified; inspect before disassembly priority"
"212526295","2026-05-16","15:50","Tokopedia_3.364.0_APKPure.xapk","xapk","not_checked","horizontal marketplace app; useful for app-tier endpoint reconnaissance"
"95429904","2026-05-16","15:51","Tokopedia Seller_2.176_APKPure.apk","apk","not_checked","horizontal marketplace app; useful for app-tier endpoint reconnaissance"
"3811389","2026-05-16","16:28","Tonaton - Buy & Sell_2.0.0_APKPure.apk","apk","not_checked","horizontal marketplace app; useful for app-tier endpoint reconnaissance"
"43305760","2026-05-16","16:44","ua.slando_5.113.2-6370_minAPI24(arm64-v8a,armeabi-v7a,x86,x86_64)(nodpi)_apkmirror.com.apk","apk","not_checked","horizontal marketplace app; useful for app-tier endpoint reconnaissance"
"121782074","2026-05-16","15:49","Vinted_ Shop & sell pre-loved_26.18.1_APKPure.xapk","xapk","not_checked","horizontal marketplace app; useful for app-tier endpoint reconnaissance"
"19611512","2026-05-19","11:45","wer-zahlt-mehr-3-1-0.apk","apk","not_checked","book/recommerce operator app candidate"
"357561024","2026-05-16","15:45","Авито_ квартиры, авто, работа_222.5_APKPure.apk","apk","not_checked","unclassified; inspect before disassembly priority"
"137885318","2026-05-16","15:06","孔夫子旧书网_8.3.1_APKPure.apk","apk","not_checked","book-first or known blocked target candidate"
"67381403","2026-05-14","02:25","换享_3.0.6_APKPure.apk","apk","not_checked","book-first or known blocked target candidate"
"100999042","2026-05-16","15:06","闲鱼_7.26.20_APKPure.apk","apk","not_checked","book-first or known blocked target candidate"
