Title,Author,ISBN,Local Price,Price (USD),Condition,Platform,Territory,URL
Amazon.com.br : University of Chicago Press,,,150,1.8,,Amazon Brazil,Peru,https://www.amazon.com.br/s?k=University+of+Chicago+Press&rh=p_90%3A19171731011&dc&qid=1782667335&rnid=19171729011&ref=sr_rib_m_web_fi_1_3_a_p_90_19171731011_1&ds=v1%3AmZpc4KiCKiybAdzFQdjp8G6aXWGQO8LJj%2F44yvxDVnk
Amazon.com.br : University of Chicago Press,,,150,1.8,,Amazon Brazil,Peru,https://www.amazon.com.br/s?k=University+of+Chicago+Press&rh=p_72%3A17833786011&dc&qid=1782667335&rnid=5560472011&ref=sr_rib_m_web_fi_1_0_a_p_72_17833786011_0&ds=v1%3AFUNC8u6ho8EKgA%2BQozT7GW7nJPB6oX48P0Oo5m6ReRA
Amazon.com.br : University of Chicago Press,,,150,1.8,,Amazon Brazil,Peru,https://www.amazon.com.br/s?k=University+of+Chicago+Press&rh=p_n_deal_type%3A23565493011&dc&qid=1782667335&rnid=23565491011&ref=sr_rib_m_web_fi_1_1_a_p_n_deal_type_23565493011_1&ds=v1%3ALM4J0QfboOYsxIiP8nqF4J2%2BNjGpdn5Z2leAzUaLhno
Amazon.com.br : University of Chicago Press,,,150,1.8,,Amazon Brazil,Peru,https://www.amazon.com.br/s?k=University+of+Chicago+Press&rh=p_36%3A25000-50000&dc&qid=1782667335&rnid=8620044011&ref=sr_rib_m_web_fi_1_2_a_p_36_dynamic-picker-2_2&ds=v1%3AcHqWY6tlzeTe81FVtr1o8ZE6ywpGpRZe90dI3OglAUA
Amazon.com.br : University of Chicago Press,,,150,1.8,,Amazon Brazil,Peru,https://www.amazon.com.br/s?k=University+of+Chicago+Press&rh=p_36%3A50000-80000&dc&qid=1782667335&rnid=8620044011&ref=sr_rib_m_web_fi_1_2_a_p_36_dynamic-picker-3_3&ds=v1%3A7%2F%2FkIRC%2F1HuPFTTMG8Y0g0gpxT%2FYbYvOqT%2F5PhqFpjY
Street Corner Society: The Social Structure of an Italian Slum 4th Ed.,William Foote Whyte,9780226895451,MYR 27.90,5.94,,Books n Bobs,Malaysia,https://booksnbobs.com/product/street-corner-society-the-social-structure-of-an-italian-slum-4th-ed/
The Middle Path: Avoiding Environmental Catastrophe,Eric Lambin,9780226468532,MYR 27.90,5.94,,Books n Bobs,Malaysia,https://booksnbobs.com/product/the-middle-path-avoiding-environmental-catastrophe/
"Beyond Caring: Hospitals, Nurses, and the Social Organization of Ethics",Daniel F. Chambliss,9780226101026,MYR 29.90,6.36,,Books n Bobs,Malaysia,https://booksnbobs.com/product/beyond-caring-hospitals-nurses-and-the-social-organization-of-ethics/
The Business of Crime: Italians and Syndicate Crime In the United States,Humbert S. Nelli,9780226571324,MYR 29.90,6.36,,Books n Bobs,Malaysia,https://booksnbobs.com/product/the-business-of-crime-italians-and-syndicate-crime-in-the-united-states/
The Dark Room,R. K. Narayan,9780226568379,MYR 31.90,6.79,,Books n Bobs,Malaysia,https://booksnbobs.com/product/the-dark-room-3/
A Planet of Viruses,Carl Zimmer,9780226983356,MYR 35.90,7.64,,Books n Bobs,Malaysia,https://booksnbobs.com/product/a-planet-of-viruses/
The System of Professions: An Essay on the Division of Expert Labor,Andrew Abbott,9780226000695,MYR 35.90,7.64,,Books n Bobs,Malaysia,https://booksnbobs.com/product/the-system-of-professions-an-essay-on-the-division-of-expert-labor/
The Common Place of Law: Stories from Everyday Life,"Patricia Ewick, Susan S. Silbey",9780226227443,MYR 35.90,7.64,,Books n Bobs,Malaysia,https://booksnbobs.com/product/the-common-place-of-law-stories-from-everyday-life/
Redesigning Social Inquiry: Fuzzy Sets and Beyond,Charles C. Ragin,9780226702759,MYR 39.90,8.49,,Books n Bobs,Malaysia,https://booksnbobs.com/product/redesigning-social-inquiry-fuzzy-sets-and-beyond/
The Chicago Manual of Style,University of Chicago Press,9780226104201,MYR 45.90,9.77,,Books n Bobs,Malaysia,https://booksnbobs.com/product/the-chicago-manual-of-style/
The Price of a Dream: The Story of the Grameen Bank,David Bornstein,9780226066448,MYR 49.90,10.62,,Books n Bobs,Malaysia,https://booksnbobs.com/product/the-price-of-a-dream-the-story-of-the-grameen-bank/
"Tales of the Field: On Writing Ethnography, 2nd Ed.",John Van Maanen,9780226849645,MYR 49.90,10.62,,Books n Bobs,Malaysia,https://booksnbobs.com/product/tales-of-the-field-on-writing-ethnography-2nd-ed/
"A Manual for Writers of Term Papers, Theses, and Dissertations, 5th Ed.",Kate L. Turabian,9780226816258,MYR 49.90,10.62,,Books n Bobs,Malaysia,https://booksnbobs.com/product/a-manual-for-writers-of-term-papers-theses-and-dissertations-5th-ed/
Aspiring Adults Adrift: Tentative Transitions of College Graduates,"Richard Arum, Josipa Roksa",9780226197289,MYR 59.90,12.74,,Books n Bobs,Malaysia,https://booksnbobs.com/product/aspiring-adults-adrift-tentative-transitions-of-college-graduates/
Academically Adrift: Limited Learning on College Campuses,"Richard Arum, Josipa Roksa",9780226028569,MYR 59.90,12.74,,Books n Bobs,Malaysia,https://booksnbobs.com/product/academically-adrift-limited-learning-on-college-campuses/
Street Corner Society: The Social Structure of an Italian Slum (Fourth Edition),William Foote Whyte,9780226895451,MYR 59.90,12.74,,Books n Bobs,Malaysia,https://booksnbobs.com/product/street-corner-society-the-social-structure-of-an-italian-slum-fourth-edition/
Constructing Social Theories,Arthur L. Stinchcombe,9780226774848,MYR 69.90,14.87,,Books n Bobs,Malaysia,https://booksnbobs.com/product/constructing-social-theories/
《【中商原版】为何轮子是圆的 英文原版 物理学书籍 Why the Wheel Is Round Steven Vogel University of Chicago Press》 【简介_书评_在线阅读】,Steven,,CNY 110.00,15.28,,Dangdang,China,http://product.dangdang.com/1193889188.html
Culture and Practical Reason,Marshall Sahlins,9780226733616,MYR 79.90,17.0,,Books n Bobs,Malaysia,https://booksnbobs.com/product/culture-and-practical-reason/
Unpopular Culture: The Ritual of Complaint In a British Bank,John Weeks,9780226878126,MYR 79.90,17.0,,Books n Bobs,Malaysia,https://booksnbobs.com/product/unpopular-culture-the-ritual-of-complaint-in-a-british-bank/
"Crafting Selves: Power, Gender, and Discourses of Identity In a Japanese Workplace",Dorinne K. Kondo,9780226450445,MYR 79.90,17.0,,Books n Bobs,Malaysia,https://booksnbobs.com/product/crafting-selves-power-gender-and-discourses-of-identity-in-a-japanese-workplace/
"The Challenger Launch Decision: Risky Technology, Culture, and Deviance at NASA",Diane Vaughan,9780226851761,MYR 89.90,19.13,,Books n Bobs,Malaysia,https://booksnbobs.com/product/the-challenger-launch-decision-risky-technology-culture-and-deviance-at-nasa/
"Body of Power, Spirit of Resistance: The Culture and History of a South African People",Jean Comaroff,9780226114231,MYR 89.90,19.13,,Books n Bobs,Malaysia,https://booksnbobs.com/product/body-of-power-spirit-of-resistance-the-culture-and-history-of-a-south-african-people/
Processual Sociology,Andrew Abbott,9780226336626,MYR 97.90,20.83,,Books n Bobs,Malaysia,https://booksnbobs.com/product/processual-sociology/
Indexes by The University of Chicago Press Editorial Staff,The University of Chicago Press Editorial Staff,,AUD 31.95,21.3,,QBD Books,Australia,https://www.qbd.com.au/indexes/the-university-of-chicago-press-editorial-staff/9780226837680/
《【3,Frame,9780226826486,CNY 160.00,22.22,,Dangdang,China,http://product.dangdang.com/11769446410.html
《【3,Mian,9780226271651,CNY 164.00,22.78,,Dangdang,China,http://product.dangdang.com/11771766510.html
《3,Hine,9780226329666,CNY 176.00,24.44,,Dangdang,China,http://product.dangdang.com/11872381170.html
Time Matters: On Theory and Method,Andrew Abbott,9780226001036,MYR 119.90,25.51,,Books n Bobs,Malaysia,https://booksnbobs.com/product/time-matters-on-theory-and-method/
The Emperor's Pearl,,9780226848723,NZD 46.00,27.71,,Paper Plus,New Zealand,https://www.paperplus.co.nz/shop/books/the-emperors-pearl
The Handle,,9780226771069,NZD 50.00,30.12,,Paper Plus,New Zealand,https://www.paperplus.co.nz/shop/books/the-handle
Tricks of the Trade,,9780226041247,NZD 54.00,32.53,,Paper Plus,New Zealand,https://www.paperplus.co.nz/shop/books/tricks-of-the-trade
《【3,University,9780226370644,CNY 251.00,34.86,,Dangdang,China,http://product.dangdang.com/11848130470.html
《3,Rapp,9780226790244,CNY 276.00,38.33,,Dangdang,China,http://product.dangdang.com/11848133960.html
On Christopher Street,,9780226824635,NZD 72.00,43.37,,Paper Plus,New Zealand,https://www.paperplus.co.nz/shop/books/on-christopher-street-1039847
Atrocities of the Mind,,9780226847993,NZD 73.00,43.98,,Paper Plus,New Zealand,https://www.paperplus.co.nz/shop/books/atrocities-of-the-mind-1535723
《3,Malley,9780226818702,CNY 324.00,45.0,,Dangdang,China,http://product.dangdang.com/11849607830.html
The Pale Blue Data Point,,9780226822402,NZD 75.00,45.18,,Paper Plus,New Zealand,https://www.paperplus.co.nz/shop/books/the-pale-blue-data-point
The Bonds of Inequality,,9780226819983,NZD 77.00,46.39,,Paper Plus,New Zealand,https://www.paperplus.co.nz/shop/books/the-bonds-of-inequality-883418
More Than Pretty Boxes,,9780226832777,NZD 80.00,48.19,,Paper Plus,New Zealand,https://www.paperplus.co.nz/shop/books/more-than-pretty-boxes
The Land Is Our Community,,9780226834481,NZD 87.00,52.41,,Paper Plus,New Zealand,https://www.paperplus.co.nz/shop/books/the-land-is-our-community-1215714
《【3,,9780226039053,CNY 380.00,52.78,,Dangdang,China,http://product.dangdang.com/11851737930.html
Clout City,,9780226733708,NZD 88.00,53.01,,Paper Plus,New Zealand,https://www.paperplus.co.nz/shop/books/clout-city
What Did You Hear?,,9780226842653,NZD 89.00,53.61,,Paper Plus,New Zealand,https://www.paperplus.co.nz/shop/books/what-did-you-hear
Sonic Flux,,9780226543178,NZD 91.00,54.82,,Paper Plus,New Zealand,https://www.paperplus.co.nz/shop/books/sonic-flux
The Culmination,,9780226845647,NZD 92.00,55.42,,Paper Plus,New Zealand,https://www.paperplus.co.nz/shop/books/the-culmination-1432379
The Black Tax,,9780226730592,NZD 92.00,55.42,,Paper Plus,New Zealand,https://www.paperplus.co.nz/shop/books/the-black-tax
The Capital Order,,9780226818399,NZD 93.00,56.02,,Paper Plus,New Zealand,https://www.paperplus.co.nz/shop/books/the-capital-order
《【3,Pridmore,9780226046808,CNY 410.00,56.94,,Dangdang,China,http://product.dangdang.com/11851384580.html
《3,Menand,9780226414713,CNY 411.00,57.08,,Dangdang,China,http://product.dangdang.com/11871961010.html
The Ecology of Ecologists,,9780226844947,NZD 97.00,58.43,,Paper Plus,New Zealand,https://www.paperplus.co.nz/shop/books/the-ecology-of-ecologists
Rarities,,9780226849423,NZD 99.00,59.64,,Paper Plus,New Zealand,https://www.paperplus.co.nz/shop/books/rarities-1542340
The Romantic Conception of Life,,9780226712116,NZD 99.00,59.64,,Paper Plus,New Zealand,https://www.paperplus.co.nz/shop/books/the-romantic-conception-of-life
Experimental Economics,,9780226820675,NZD 107.00,64.46,,Paper Plus,New Zealand,https://www.paperplus.co.nz/shop/books/experimental-economics-1461153
Giordano Bruno and the Hermetic Tradition,,9780226950075,NZD 110.00,66.27,,Paper Plus,New Zealand,https://www.paperplus.co.nz/shop/books/giordano-bruno-and-the-hermetic-tradition-295082
Wittgenstein,,9780226824574,NZD 112.00,67.47,,Paper Plus,New Zealand,https://www.paperplus.co.nz/shop/books/wittgenstein-1458668
An Artificial History of Natural Intelligence,,9780226832104,NZD 112.00,67.47,,Paper Plus,New Zealand,https://www.paperplus.co.nz/shop/books/an-artificial-history-of-natural-intelligence
Jean-Paul Marat,,9780226820927,NZD 122.00,73.49,,Paper Plus,New Zealand,https://www.paperplus.co.nz/shop/books/jean-paul-marat-1432332
"The Chicago Manual of Style, 17th Edition by The University of Chicago Press Editorial Staff",The University of Chicago Press Editorial Staff,,AUD 117.99,78.66,,QBD Books,Australia,https://www.qbd.com.au/the-chicago-manual-of-style-17th-edition/the-university-of-chicago-press-editorial-staff/9780226287058/
The Chicago Manual of Style by The University of Chicago Press Editorial Staff,The University of Chicago Press Editorial Staff,,AUD 124.95,83.3,,QBD Books,Australia,https://www.qbd.com.au/the-chicago-manual-of-style/the-university-of-chicago-press-editorial-staff/9780226817972/
《【3,Doogab,9780226143835,CNY 674.00,93.61,,Dangdang,China,http://product.dangdang.com/11768528940.html
《3,Greenberg,9780226306605,CNY 689.00,95.69,,Dangdang,China,http://product.dangdang.com/11757223870.html
The Venture of Islam Series,Marshall G. S. Hodgson,9780226346830,MYR 459.90,97.85,,Books n Bobs,Malaysia,https://booksnbobs.com/product/the-venture-of-islam-series/
"The Chicago Manual of Style, 18th Edition",,9780226817972,NZD 170.00,102.41,,Paper Plus,New Zealand,https://www.paperplus.co.nz/shop/books/the-chicago-manual-of-style-18th-edition
The Goldsmith's Debt,,9780226845203,NZD 190.00,114.46,,Paper Plus,New Zealand,https://www.paperplus.co.nz/shop/books/the-goldsmiths-debt
The Greater Perfection,,9780226829814,NZD 217.00,130.72,,Paper Plus,New Zealand,https://www.paperplus.co.nz/shop/books/the-greater-perfection
《【3,Harris,9780226610870,CNY 1314,182.5,,Dangdang,China,http://product.dangdang.com/11764254420.html
Nakladatelství University of Chicago Press,,,,,,TrhKnih,Czechia,https://www.trhknih.cz/nakladatel/1hrzjm2kcno
Nakladatelství University of Chicago Press,,,,,,TrhKnih,Czechia,https://www.trhknih.cz/nakladatel/1cvy9t5ycg2jv
Nakladatelství The university of Chicago press,,,,,,TrhKnih,Czechia,https://www.trhknih.cz/nakladatel/zdyx6tzmb
Righting The American Dream: How The Media Mainstreamed Reag,,9780226824529,,,,Whitcoulls,New Zealand,https://www.whitcoulls.co.nz/righting-the-american-dream-how-the-media-mainstreamed-reagans-evangelical-vision-978022682452937489
Everyone Against Us: Public Defenders And The Making Of Amer,,9780226826233,,,,Whitcoulls,New Zealand,https://www.whitcoulls.co.nz/everyone-against-us-public-defenders-and-the-making-of-american-justice-978022682623337481
Accident: A Philosophical And Literary History,,9780226821047,,,,Whitcoulls,New Zealand,https://www.whitcoulls.co.nz/accident-a-philosophical-and-literary-history-978022682104737900
"The Voice Of The Rural: Music, Poetry, And Masculinity Among",,9780226818696,,,,Whitcoulls,New Zealand,https://www.whitcoulls.co.nz/the-voice-of-the-rural-music-poetry-and-masculinity-among-migrant-moroccan-men-in-umbria-978022681869637486
Making Mexican Chicago: From Postwar Settlement To The Age O,,9780226815824,,,,Whitcoulls,New Zealand,https://www.whitcoulls.co.nz/making-mexican-chicago-from-postwar-settlement-to-the-age-of-gentrification-978022681582437489
Music's Monisms: Disarticulating Modernism,,9780226791227,,,,Whitcoulls,New Zealand,https://www.whitcoulls.co.nz/musics-monisms-disarticulating-modernism-978022679122737486
Sincerely Held: American Secularism And Its Believers,,9780226817958,,,,Whitcoulls,New Zealand,https://www.whitcoulls.co.nz/sincerely-held-american-secularism-and-its-believers-978022681795837900
Unbridled: Studying Religion In Performance,,9780226816906,,,,Whitcoulls,New Zealand,https://www.whitcoulls.co.nz/unbridled-studying-religion-in-performance-978022681690637934
Changing Their Minds?: Donald Trump And Presidential Leaders,,9780226775814,,,,Whitcoulls,New Zealand,https://www.whitcoulls.co.nz/changing-their-minds-donald-trump-and-presidential-leadership-978022677581437900
Sorting Sexualities: Expertise And The Politics Of Legal Cla,,9780226769165,,,,Whitcoulls,New Zealand,https://www.whitcoulls.co.nz/sorting-sexualities-expertise-and-the-politics-of-legal-classification-978022676916537900
