source_name,normalized_field,observed_source_field_or_derivation
genialokal — Unsere Buchhandlungen,source_count_context,"current source count, query count, or count-note from evidence ledger"
genialokal — Unsere Buchhandlungen,last_seen_date,2026-04-26
genialokal — Unsere Buchhandlungen,confidence,high/medium/low from source + row parse quality
genialokal — Unsere Buchhandlungen,status_note,"QA note, e.g. online-only, chain branch, distributor, profile missing fields"
buchhandel.at / Hauptverband des Österreichischen Buchhandels,source_name,constant source label
buchhandel.at / Hauptverband des Österreichischen Buchhandels,country,constant country/territory
buchhandel.at / Hauptverband des Österreichischen Buchhandels,source_class,manifest taxonomy
buchhandel.at / Hauptverband des Österreichischen Buchhandels,entity_name,store/member/profile heading
buchhandel.at / Hauptverband des Österreichischen Buchhandels,entity_role_primary,"classification from source class, flags, description"
buchhandel.at / Hauptverband des Österreichischen Buchhandels,role_flags,services/categories/known role signals
buchhandel.at / Hauptverband des Österreichischen Buchhandels,address_line,source address/street line
buchhandel.at / Hauptverband des Österreichischen Buchhandels,city,city/town/locality field or parsed address
buchhandel.at / Hauptverband des Österreichischen Buchhandels,region_or_state,state/province/Bundesland/county when exposed or inferred from listing page
buchhandel.at / Hauptverband des Österreichischen Buchhandels,postal_code,postal code where parsed
buchhandel.at / Hauptverband des Österreichischen Buchhandels,country_code,source country or profile code
buchhandel.at / Hauptverband des Österreichischen Buchhandels,phone,telephone/mobile field
buchhandel.at / Hauptverband des Österreichischen Buchhandels,email,email field or contact link if exposed
buchhandel.at / Hauptverband des Österreichischen Buchhandels,website,source web/external website link
buchhandel.at / Hauptverband des Österreichischen Buchhandels,profile_url,directory profile/detail URL
buchhandel.at / Hauptverband des Österreichischen Buchhandels,external_url,store own site/social link where different from profile
buchhandel.at / Hauptverband des Österreichischen Buchhandels,services_or_tags,service flags/category labels/amenities
buchhandel.at / Hauptverband des Österreichischen Buchhandels,opening_hours,profile opening hours text
buchhandel.at / Hauptverband des Österreichischen Buchhandels,description,profile text/description
buchhandel.at / Hauptverband des Österreichischen Buchhandels,source_count_context,"current source count, query count, or count-note from evidence ledger"
buchhandel.at / Hauptverband des Österreichischen Buchhandels,last_seen_date,2026-04-26
buchhandel.at / Hauptverband des Österreichischen Buchhandels,confidence,high/medium/low from source + row parse quality
buchhandel.at / Hauptverband des Österreichischen Buchhandels,status_note,"QA note, e.g. online-only, chain branch, distributor, profile missing fields"
