p3_id,unit,bucket,action_rank,action_class,verification_grade,candidate_or_strategy,visible_cost,ac_status,next_verification_step,live_refresh_policy,provenance_state,archived_chat_evidence,archived_chat_titles,source_layers_linked,p2_note,p7_final_lane,p7_stopline_status,p7_remaining_action,p8_lane,p8_action_rule,p8_turn13_status
P3-036,Francisco Morato,2A,2,Best actionable now - standard verify,B,Centro 47/52m2 sala band; Centro 21m2 clean package,"R$1,510-R$1,805",verify condo/IPTU/station walk,Refresh listing availability; verify exact block/walk/logistics,"Refresh listing/agent immediately before action; verify availability, total monthly cost, exact address, AC claim, and block conditions.",file-backed carried-forward,yes,Centro vs Vila Portes; Property Search Continuation,post_all_chats_citypass_leadboard_patch_v1 ; 2026-05-04_post_border_axis_extension_vFINAL,,P7-B SELECTIVE_REFRESH_IF_ACTING,"Final board row retained at P7 stopline; P5-A winner-change refresh is closed. Do not act without direct listing/agent verification of availability, total monthly cost, exact address, AC claim, and block conditions.",P5-B SELECTIVE_REFRESH_IF_ACTING — Refresh only if preparing to act in this city/bucket; otherwise preserve as harmonized winner with standard volatility caveat.,P8-2 SELECTIVE_REFRESH_IF_ACTING,refresh only if this exact unit/bucket is being acted on,Carried forward from P7; no new live refresh in P8 control consolidation.
P3-061,Jaguarão,2A,2,Best actionable now - standard verify,B,Sulino Rua Joaquim Caetano 382 Centro sala,"R$1,000 / R$900 pontualidade",verify humidity,Refresh listing availability; verify exact block/walk/logistics,"Refresh listing/agent immediately before action; verify availability, total monthly cost, exact address, AC claim, and block conditions.",file-backed current stopline,yes,Centro vs Vila Portes; Metro Station Safety Line 1; Property Search Continuation; Sebo Inventory Florianópolis Transit,post_all_chats_citypass_leadboard_patch_v1 ; 2026-05-04_post_uruguaiana_reset_vFINAL,,P7-B SELECTIVE_REFRESH_IF_ACTING,"Final board row retained at P7 stopline; P5-A winner-change refresh is closed. Do not act without direct listing/agent verification of availability, total monthly cost, exact address, AC claim, and block conditions.",P5-B SELECTIVE_REFRESH_IF_ACTING — Refresh only if preparing to act in this city/bucket; otherwise preserve as harmonized winner with standard volatility caveat.,P8-2 SELECTIVE_REFRESH_IF_ACTING,refresh only if this exact unit/bucket is being acted on,Carried forward from P7; no new live refresh in P8 control consolidation.
P3-062,Jaguarão,2B,2,Best actionable now - standard verify,B,Sulino Rua Bento Gonçalves 1510 B Centro micro-house,R$611.11 / R$550 pontualidade,verify damp/shared patio,Refresh listing availability; verify exact block/walk/logistics,"Refresh listing/agent immediately before action; verify availability, total monthly cost, exact address, AC claim, and block conditions.",file-backed current stopline,yes,Centro vs Vila Portes; Metro Station Safety Line 1; Property Search Continuation; Sebo Inventory Florianópolis Transit,post_all_chats_citypass_leadboard_patch_v1 ; 2026-05-04_post_uruguaiana_reset_vFINAL,,P7-B SELECTIVE_REFRESH_IF_ACTING,"Final board row retained at P7 stopline; P5-A winner-change refresh is closed. Do not act without direct listing/agent verification of availability, total monthly cost, exact address, AC claim, and block conditions.",P5-B SELECTIVE_REFRESH_IF_ACTING — Refresh only if preparing to act in this city/bucket; otherwise preserve as harmonized winner with standard volatility caveat.,P8-2 SELECTIVE_REFRESH_IF_ACTING,refresh only if this exact unit/bucket is being acted on,Carried forward from P7; no new live refresh in P8 control consolidation.
P3-063,Jaguarão,2C,2,Best actionable now - standard verify,B,Sulino Rua Curuzu 2095 Centro 2BR,"R$1,111.11 / R$1,000 pontualidade",verify,Refresh listing availability; verify exact block/walk/logistics,"Refresh listing/agent immediately before action; verify availability, total monthly cost, exact address, AC claim, and block conditions.",file-backed current stopline,yes,Centro vs Vila Portes; Metro Station Safety Line 1; Property Search Continuation; Sebo Inventory Florianópolis Transit,post_all_chats_citypass_leadboard_patch_v1 ; 2026-05-04_post_uruguaiana_reset_vFINAL,,P7-B SELECTIVE_REFRESH_IF_ACTING,"Final board row retained at P7 stopline; P5-A winner-change refresh is closed. Do not act without direct listing/agent verification of availability, total monthly cost, exact address, AC claim, and block conditions.",P5-B SELECTIVE_REFRESH_IF_ACTING — Refresh only if preparing to act in this city/bucket; otherwise preserve as harmonized winner with standard volatility caveat.,P8-2 SELECTIVE_REFRESH_IF_ACTING,refresh only if this exact unit/bucket is being acted on,Carried forward from P7; no new live refresh in P8 control consolidation.
P3-064,Jaguarão,2D,2,Best actionable now - standard verify,B,Sulino Rua 24 de Maio 552 Centro 2BR + rear large room,"R$1,666.66 / R$1,499.99 pontualidade",verify rear room dry/useful,Refresh listing availability; verify exact block/walk/logistics,"Refresh listing/agent immediately before action; verify availability, total monthly cost, exact address, AC claim, and block conditions.",file-backed current stopline,yes,Centro vs Vila Portes; Metro Station Safety Line 1; Property Search Continuation; Sebo Inventory Florianópolis Transit,post_all_chats_citypass_leadboard_patch_v1 ; 2026-05-04_post_uruguaiana_reset_vFINAL,,P7-B SELECTIVE_REFRESH_IF_ACTING,"Final board row retained at P7 stopline; P5-A winner-change refresh is closed. Do not act without direct listing/agent verification of availability, total monthly cost, exact address, AC claim, and block conditions.",P5-B SELECTIVE_REFRESH_IF_ACTING — Refresh only if preparing to act in this city/bucket; otherwise preserve as harmonized winner with standard volatility caveat.,P8-2 SELECTIVE_REFRESH_IF_ACTING,refresh only if this exact unit/bucket is being acted on,Carried forward from P7; no new live refresh in P8 control consolidation.
P3-057,Santa Vitória do Palmar,2A,2,Best actionable now - standard verify,B,Neyta Ramos 187 Centro sala,R$900,AC not controlling,Refresh listing availability; verify AC explicitly; verify exact block/walk/logistics,"Refresh listing/agent immediately before action; verify availability, total monthly cost, exact address, AC claim, and block conditions.",file-backed/current patch,yes,Centro vs Vila Portes; Property Search Continuation,post_all_chats_citypass_leadboard_patch_v1 ; 2026-05-04_post_uruguaiana_reset_vFINAL,,P7-B SELECTIVE_REFRESH_IF_ACTING,"Final board row retained at P7 stopline; P5-A winner-change refresh is closed. Do not act without direct listing/agent verification of availability, total monthly cost, exact address, AC claim, and block conditions.",P5-B SELECTIVE_REFRESH_IF_ACTING — Refresh only if preparing to act in this city/bucket; otherwise preserve as harmonized winner with standard volatility caveat.,P8-2 SELECTIVE_REFRESH_IF_ACTING,"refresh only if this exact unit/bucket is being acted on; AC evidence may exist, re-verify exact current listing before relying on it",Carried forward from P7; no new live refresh in P8 control consolidation.
P3-058,Santa Vitória do Palmar,2B,2,Best actionable now - standard verify,B,Neyta Ramos 171 Centro 2BR house,R$930,AC not controlling,Refresh listing availability; verify AC explicitly; verify exact block/walk/logistics,"Refresh listing/agent immediately before action; verify availability, total monthly cost, exact address, AC claim, and block conditions.",file-backed/current patch,yes,Centro vs Vila Portes; Property Search Continuation,post_all_chats_citypass_leadboard_patch_v1 ; 2026-05-04_post_uruguaiana_reset_vFINAL,,P7-B SELECTIVE_REFRESH_IF_ACTING,"Final board row retained at P7 stopline; P5-A winner-change refresh is closed. Do not act without direct listing/agent verification of availability, total monthly cost, exact address, AC claim, and block conditions.",P5-B SELECTIVE_REFRESH_IF_ACTING — Refresh only if preparing to act in this city/bucket; otherwise preserve as harmonized winner with standard volatility caveat.,P8-2 SELECTIVE_REFRESH_IF_ACTING,"refresh only if this exact unit/bucket is being acted on; AC evidence may exist, re-verify exact current listing before relying on it",Carried forward from P7; no new live refresh in P8 control consolidation.
P3-059,Santa Vitória do Palmar,2C,2,Best actionable now - standard verify,B,Conrado Alves Guimarães 604 Centro 2BR house,"R$1,100",AC not controlling,Refresh listing availability; verify AC explicitly; verify exact block/walk/logistics,"Refresh listing/agent immediately before action; verify availability, total monthly cost, exact address, AC claim, and block conditions.",file-backed/current patch,yes,Centro vs Vila Portes; Property Search Continuation,post_all_chats_citypass_leadboard_patch_v1 ; 2026-05-04_post_uruguaiana_reset_vFINAL,,P7-B SELECTIVE_REFRESH_IF_ACTING,"Final board row retained at P7 stopline; P5-A winner-change refresh is closed. Do not act without direct listing/agent verification of availability, total monthly cost, exact address, AC claim, and block conditions.",P5-B SELECTIVE_REFRESH_IF_ACTING — Refresh only if preparing to act in this city/bucket; otherwise preserve as harmonized winner with standard volatility caveat.,P8-2 SELECTIVE_REFRESH_IF_ACTING,"refresh only if this exact unit/bucket is being acted on; AC evidence may exist, re-verify exact current listing before relying on it",Carried forward from P7; no new live refresh in P8 control consolidation.
P3-049,Santana do Livramento,2A,2,Best actionable now - standard verify,B,Janete Badra 255-JB Rua Senador Salgado Filho 1194,"R$1,000 / ~R$1,195 visible",AC unknown,Refresh listing availability; verify AC explicitly; verify exact block/walk/logistics,"Refresh listing/agent immediately before action; verify availability, total monthly cost, exact address, AC claim, and block conditions.",file-backed/current patch,yes,Centro vs Vila Portes; Property Search Continuation,post_all_chats_citypass_leadboard_patch_v1 ; 2026-05-04_post_border_axis_extension_vFINAL ; 2026-05-04_post_uruguaiana_reset_vFINAL,,P7-B SELECTIVE_REFRESH_IF_ACTING,"Final board row retained at P7 stopline; P5-A winner-change refresh is closed. Do not act without direct listing/agent verification of availability, total monthly cost, exact address, AC claim, and block conditions.",P5-B SELECTIVE_REFRESH_IF_ACTING — Refresh only if preparing to act in this city/bucket; otherwise preserve as harmonized winner with standard volatility caveat.,P8-2 SELECTIVE_REFRESH_IF_ACTING,refresh only if this exact unit/bucket is being acted on; AC not confirmed from current row,Carried forward from P7; no new live refresh in P8 control consolidation.
P3-052,Santana do Livramento,2D,2,Best actionable now - standard verify,B,"Charrua LC15921 — Rua Floriano Peixoto 709, Severo de Abreu","R$1,800 + taxas",AC unknown,Refresh listing availability; verify AC explicitly; verify exact block/walk/logistics,"Refresh listing/agent immediately before action; verify availability, total monthly cost, exact address, AC claim, and block conditions.",current_conversation_patch,yes,Centro vs Vila Portes; Property Search Continuation,post_all_chats_citypass_leadboard_patch_v1 ; 2026-05-04_current_chat_patch ; 2026-05-04_post_uruguaiana_reset_vFINAL,,P7-B SELECTIVE_REFRESH_IF_ACTING,"Final board row retained at P7 stopline; P5-A winner-change refresh is closed. Do not act without direct listing/agent verification of availability, total monthly cost, exact address, AC claim, and block conditions.",P5-B SELECTIVE_REFRESH_IF_ACTING — Refresh only if preparing to act in this city/bucket; otherwise preserve as harmonized winner with standard volatility caveat.,P8-2 SELECTIVE_REFRESH_IF_ACTING,refresh only if this exact unit/bucket is being acted on; AC not confirmed from current row,Carried forward from P7; no new live refresh in P8 control consolidation.
P3-071,Uruguaiana,2A,2,Best actionable now - standard verify,B,"Catto Ref. 573 — Av. Presidente Vargas 2929 Sala 04, Centro","~R$1,015.99",AC not controlling,Refresh listing availability; verify AC explicitly; verify exact block/walk/logistics,"Refresh listing/agent immediately before action; verify availability, total monthly cost, exact address, AC claim, and block conditions.",current_conversation_patch,yes,Centro vs Vila Portes; Sebo Inventory Florianópolis Transit,post_all_chats_citypass_leadboard_patch_v1 ; 2026-05-04_current_chat_patch ; 2026-05-04_post_uruguaiana_reset_vFINAL,,P7-B SELECTIVE_REFRESH_IF_ACTING,"Final board row retained at P7 stopline; P5-A winner-change refresh is closed. Do not act without direct listing/agent verification of availability, total monthly cost, exact address, AC claim, and block conditions.",P5-B SELECTIVE_REFRESH_IF_ACTING — Refresh only if preparing to act in this city/bucket; otherwise preserve as harmonized winner with standard volatility caveat.,P8-2 SELECTIVE_REFRESH_IF_ACTING,"refresh only if this exact unit/bucket is being acted on; AC evidence may exist, re-verify exact current listing before relying on it",Carried forward from P7; no new live refresh in P8 control consolidation.
P3-072,Uruguaiana,2B,2,Best actionable now - standard verify,B,"Sesipa APARTAMENTO L-01 — Rua Santana 2202, Cond. Dona Luiza, Centro",~R$856.79,AC not controlling,Refresh listing availability; verify AC explicitly; verify exact block/walk/logistics,"Refresh listing/agent immediately before action; verify availability, total monthly cost, exact address, AC claim, and block conditions.",current_conversation_patch,yes,Centro vs Vila Portes; Sebo Inventory Florianópolis Transit,post_all_chats_citypass_leadboard_patch_v1 ; 2026-05-04_current_chat_patch ; 2026-05-04_post_uruguaiana_reset_vFINAL,,P7-B SELECTIVE_REFRESH_IF_ACTING,"Final board row retained at P7 stopline; P5-A winner-change refresh is closed. Do not act without direct listing/agent verification of availability, total monthly cost, exact address, AC claim, and block conditions.",P5-B SELECTIVE_REFRESH_IF_ACTING — Refresh only if preparing to act in this city/bucket; otherwise preserve as harmonized winner with standard volatility caveat.,P8-2 SELECTIVE_REFRESH_IF_ACTING,"refresh only if this exact unit/bucket is being acted on; AC evidence may exist, re-verify exact current listing before relying on it",Carried forward from P7; no new live refresh in P8 control consolidation.
