register_scope,p3_id,unit,bucket,p9k_alt_desk_rank,p9k_alt_desk_score,p9k_alt_hold_drop_code,p9k_alt_finalist_band,visible_cost,ac_status,primary_risk_tags,hold_drop_reason,no_contact_next_action
P9J_38_ROW_DEFERRED_CONTACT_POOL,P3-021,Pelotas,2B/2C kitnet/AC,15,61.02,HOLD_LOW_PRIORITY,DESK_TOP16_EXTENDED_FINALIST,"Lobo da Costa: R$1,100 rent + R$80 condomínio + R$20 IPTU = R$1,200 all-in if IPTU included; Chaves subtotal line shows R$1,180 rent+condo only. General Argolo: R$1,600 + R$100 condo = R$1,700.",Explicit AC on Lobo da Costa and General Argolo.,exact_address_or_block_unresolved;total_monthly_cost_needs_confirmation;explicit_ac_present_but_reverify;building_block_condition_check,exact address/block unresolved; all-in monthly cost unresolved; condition/block check required,Keep ranked for desk-only comparison; no promotion to close-ready without direct contact.
P9J_38_ROW_DEFERRED_CONTACT_POOL,P3-029,Brasília,2C AC challenger,16,60.71,HOLD_LOW_PRIORITY,DESK_TOP16_EXTENDED_FINALIST,"R$1,850/month rent currently visible on DFimoveis. Carried-forward R$337 condominium component from the earlier row was not independently reverified in P9F; total monthly cost still requires agent confirmation before action.",AC explicit on selected current DFimoveis row; still verify installed/working and included scope directly before action.,total_monthly_cost_needs_confirmation;explicit_ac_present_but_reverify;building_block_condition_check,all-in monthly cost unresolved; condition/block check required,Keep ranked for desk-only comparison; no promotion to close-ready without direct contact.
P9J_38_ROW_DEFERRED_CONTACT_POOL,P3-003,Florianópolis,2B/2C live-in,17,57.7,HOLD_LOW_PRIORITY,DESK_BACKUP_POOL,"Juvêncio Costa: R$800/month including water and electricity. Radialista: R$800 one person or R$1,000 two people including water, internet and electricity.",No AC shown on cheap leaders.,exact_address_or_block_unresolved;ac_not_explicit_or_not_relevant;building_block_condition_check,exact address/block unresolved; condition/block check required; AC not explicit,Keep ranked for desk-only comparison; no promotion to close-ready without direct contact.
P9J_38_ROW_DEFERRED_CONTACT_POOL,P3-004,Florianópolis,2D house/storage,18,56.36,HOLD_LOW_PRIORITY,DESK_BACKUP_POOL,"Conselheiro Mafra: R$1,600/month including IPTU, trash, water and sewer; electricity extra. Oge Fortkamp: R$2,300/month, utilities/internet not included, IPTU included.",Price winner no AC shown. Oge Fortkamp explicitly has AC in two bedrooms.,exact_address_or_block_unresolved;total_monthly_cost_needs_confirmation;ac_not_explicit_or_not_relevant;building_block_condition_check,exact address/block unresolved; all-in monthly cost unresolved; condition/block check required; AC not explicit,Keep ranked for desk-only comparison; no promotion to close-ready without direct contact.
P9J_38_ROW_DEFERRED_CONTACT_POOL,P3-062,Jaguarão,2B,19,55.72,HOLD_LOW_PRIORITY,DESK_BACKUP_POOL,Sulino: R$611.11 rent; R$550 with pontualidade discount. Other mandatory fees not exposed.,No AC shown; damp/shared-patio/ventilation remain controlling risks.,total_monthly_cost_needs_confirmation;ac_not_explicit_or_not_relevant,all-in monthly cost unresolved; AC not explicit,Keep ranked for desk-only comparison; no promotion to close-ready without direct contact.
P9J_38_ROW_DEFERRED_CONTACT_POOL,P3-059,Santa Vitória do Palmar,2C,20,55.72,HOLD_LOW_PRIORITY,DESK_BACKUP_POOL,"Imovelweb/Campo & Lar surface: R$1,100 rent; 2 dormitórios, sala, cozinha, bathroom, closed patio, garage; current-listing date shown as 02/04/2026.",No AC shown; verify explicit AC only by direct listing/contact if needed.,total_monthly_cost_needs_confirmation;ac_not_explicit_or_not_relevant;explicit_ac_present_but_reverify;building_block_condition_check,all-in monthly cost unresolved; condition/block check required; AC not explicit,Keep ranked for desk-only comparison; no promotion to close-ready without direct contact.
P9J_38_ROW_DEFERRED_CONTACT_POOL,P3-061,Jaguarão,2A,21,54.72,HOLD_LOW_PRIORITY,DESK_BACKUP_POOL,"Sulino: R$1,000 rent; R$900 with pontualidade discount. Other mandatory fees not exposed.",No AC shown; humidity/thermal comfort remains a call/visit item.,total_monthly_cost_needs_confirmation;ac_not_explicit_or_not_relevant;building_block_condition_check,all-in monthly cost unresolved; condition/block check required; AC not explicit,Keep ranked for desk-only comparison; no promotion to close-ready without direct contact.
P9J_38_ROW_DEFERRED_CONTACT_POOL,P3-071,Uruguaiana,2A,22,54.72,HOLD_LOW_PRIORITY,DESK_BACKUP_POOL,"Catto exact: R$850 rent + R$60 condomínio + R$105.99 IPTU = R$1,015.99/month before any variable/annual adjustments; insurance shown as R$0 on page.",No AC shown; page describes two rooms and bathroom only.,total_monthly_cost_needs_confirmation;ac_not_explicit_or_not_relevant;building_block_condition_check,all-in monthly cost unresolved; condition/block check required; AC not explicit,Keep ranked for desk-only comparison; no promotion to close-ready without direct contact.
P9J_38_ROW_DEFERRED_CONTACT_POOL,P3-049,Santana do Livramento,2A,23,54.06,HOLD_LOW_PRIORITY,DESK_BACKUP_POOL,"R$1,000 rent; prior visible total about R$1,195 if condo/IPTU included as previously captured. Direct contact must confirm current all-in monthly package.",AC unknown/not shown.,total_monthly_cost_needs_confirmation;ac_not_explicit_or_not_relevant;building_block_condition_check,all-in monthly cost unresolved; condition/block check required; AC not explicit,Keep ranked for desk-only comparison; no promotion to close-ready without direct contact.
P9J_38_ROW_DEFERRED_CONTACT_POOL,P3-032,Várzea Paulista,2A,24,54.06,STALE_RISK_HIGH_HOLD,DESK_BACKUP_POOL,"Updated price winner: R$1,000 rent + R$150 condomínio = R$1,150/month. Libório fallback: R$1,700 rent + R$150 condomínio = R$1,850 package. WM2 fallback: about R$2,550/month.",Updated price winner has ar-condicionado; Libório fallback has installed AC; WM2 fallback also has AC.,stale_or_unavailable_anchor;total_monthly_cost_needs_confirmation;explicit_ac_present_but_reverify;building_block_condition_check,stale/unavailable/old-anchor risk; all-in monthly cost unresolved; condition/block check required,Keep ranked for desk-only comparison; no promotion to close-ready without direct contact.
P9J_38_ROW_DEFERRED_CONTACT_POOL,P3-043,Belo Horizonte,2C practical 2BR,25,53.72,DROP_UNLESS_REACTIVATED_OR_USER_SELECTS_CITY,DESK_BACKUP_POOL,"Structured totals: R$1,100 rent + R$382–383 condo = R$1,482–1,483. Text mirror adds IPTU R$104.23, producing fuller cost ~R$1,586.23.",AC not shown.,total_monthly_cost_needs_confirmation;ac_not_explicit_or_not_relevant;building_block_condition_check,all-in monthly cost unresolved; condition/block check required; AC not explicit,Keep ranked for desk-only comparison; no promotion to close-ready without direct contact.
P9J_38_ROW_DEFERRED_CONTACT_POOL,P3-020,Pelotas,2A sala,26,53.36,DROP_UNLESS_REACTIVATED_OR_USER_SELECTS_CITY,DESK_BACKUP_POOL,R$650 rent + R$290 condomínio = R$940/month total shown.,"No AC shown; page describes reception, atendimento room, private bathroom, alteration possible, commercial-hours portaria/alarm.",exact_address_or_block_unresolved;total_monthly_cost_needs_confirmation;ac_not_explicit_or_not_relevant;building_block_condition_check,exact address/block unresolved; all-in monthly cost unresolved; condition/block check required; AC not explicit,Keep ranked for desk-only comparison; no promotion to close-ready without direct contact.
P9J_38_ROW_DEFERRED_CONTACT_POOL,P3-072,Uruguaiana,2B,27,53.06,DROP_UNLESS_REACTIVATED_OR_USER_SELECTS_CITY,DESK_BACKUP_POOL,"Sesipa search-visible source shows R$600 rent + R$144 condominium for JK L-01A at Rua Santana 2202, 3º andar, Cond. Dona Luiza. Prior board ~R$856.79 may include IPTU/insurance/other fees; do not overwrite all-in total until call.",No AC shown; AC not controlling unless directly verified.,total_monthly_cost_needs_confirmation;ac_not_explicit_or_not_relevant;building_block_condition_check,all-in monthly cost unresolved; condition/block check required; AC not explicit,Keep ranked for desk-only comparison; no promotion to close-ready without direct contact.
P9J_38_ROW_DEFERRED_CONTACT_POOL,P3-018,Campinas,2D house/storage,28,52.7,DROP_UNLESS_REACTIVATED_OR_USER_SELECTS_CITY,DESK_BACKUP_POOL,"Primary: R$1,400 rent shown; fees not exposed. Fallback: R$1,500 rent; fire insurance required.",No AC shown on primary/fallback.,exact_address_or_block_unresolved;total_monthly_cost_needs_confirmation;ac_not_explicit_or_not_relevant;building_block_condition_check,exact address/block unresolved; all-in monthly cost unresolved; condition/block check required; AC not explicit,Keep ranked for desk-only comparison; no promotion to close-ready without direct contact.
P9J_38_ROW_DEFERRED_CONTACT_POOL,P3-063,Jaguarão,2C,29,50.72,DROP_UNLESS_REACTIVATED_OR_USER_SELECTS_CITY,DESK_HOLD_POOL,"Sulino: R$1,111.11 rent; R$1,000 with pontualidade discount. Other mandatory fees not exposed.",No AC shown.,total_monthly_cost_needs_confirmation;ac_not_explicit_or_not_relevant;building_block_condition_check,all-in monthly cost unresolved; condition/block check required; AC not explicit,Keep ranked for desk-only comparison; no promotion to close-ready without direct contact.
P9J_38_ROW_DEFERRED_CONTACT_POOL,P3-042,Belo Horizonte,2B small residential,30,50.72,DROP_UNLESS_REACTIVATED_OR_USER_SELECTS_CITY,DESK_HOLD_POOL,"R$1,480 rent + R$55 condo + IPTU 5x R$52.05 = R$1,587.05 during IPTU months. Water is shared among 4 apartments; electricity individual.",AC not shown.,total_monthly_cost_needs_confirmation;ac_not_explicit_or_not_relevant;building_block_condition_check,all-in monthly cost unresolved; condition/block check required; AC not explicit,Keep ranked for desk-only comparison; no promotion to close-ready without direct contact.
P9J_38_ROW_DEFERRED_CONTACT_POOL,P3-058,Santa Vitória do Palmar,2B,31,50.06,DROP_UNLESS_REACTIVATED_OR_USER_SELECTS_CITY,DESK_HOLD_POOL,"Imovelweb row: R$930/month; 96 m² total, 2 quartos, 1 banheiro; current-listing date shown as 11/03/2026.","No AC shown; verify if any installed, plus heating/ventilation/humidity.",total_monthly_cost_needs_confirmation;ac_not_explicit_or_not_relevant;building_block_condition_check,all-in monthly cost unresolved; condition/block check required; AC not explicit,Keep ranked for desk-only comparison; no promotion to close-ready without direct contact.
P9J_38_ROW_DEFERRED_CONTACT_POOL,P3-073,Uruguaiana,2C,32,50.06,DROP_UNLESS_REACTIVATED_OR_USER_SELECTS_CITY,DESK_HOLD_POOL,"Imovelweb/Wimoveis current visible: R$900 rent + R$35 condomínio = R$935 before utilities/other fees; 70 m², 2 quartos, 1 banheiro, Centro.",No AC shown; AC not controlling unless direct listing/contact confirms.,total_monthly_cost_needs_confirmation;ac_not_explicit_or_not_relevant;building_block_condition_check,all-in monthly cost unresolved; condition/block check required; AC not explicit,Keep ranked for desk-only comparison; no promotion to close-ready without direct contact.
P9J_38_ROW_DEFERRED_CONTACT_POOL,P3-010,Porto Alegre Centro,2D house/storage,33,49.39,DROP_UNLESS_REACTIVATED_OR_USER_SELECTS_CITY,DESK_HOLD_POOL,"R$2,200 rent + R$800 condomínio + R$180 IPTU = R$3,180/month before utilities/insurance; this supersedes the older carried-forward R$2,700 total for P9F purposes.",No AC proof visible in the current P9F source. Do not carry forward old strict-AC claim without direct agent confirmation.,total_monthly_cost_needs_confirmation;ac_not_explicit_or_not_relevant;explicit_ac_present_but_reverify;building_block_condition_check,all-in monthly cost unresolved; condition/block check required; AC not explicit; very high desk cost,Keep ranked for desk-only comparison; no promotion to close-ready without direct contact.
P9J_38_ROW_DEFERRED_CONTACT_POOL,P3-064,Jaguarão,2D,34,48.72,DROP_UNLESS_REACTIVATED_OR_USER_SELECTS_CITY,DESK_HOLD_POOL,"Sulino: R$1,666.66 rent; R$1,499.99 with pontualidade discount. Other mandatory fees not exposed.",No AC shown; rear-room dryness/usefulness remains decisive.,total_monthly_cost_needs_confirmation;ac_not_explicit_or_not_relevant;building_block_condition_check,all-in monthly cost unresolved; condition/block check required; AC not explicit,Keep ranked for desk-only comparison; no promotion to close-ready without direct contact.
P9J_38_ROW_DEFERRED_CONTACT_POOL,P3-074,Uruguaiana,2D,35,45.72,DROP_UNLESS_REACTIVATED_OR_USER_SELECTS_CITY,DESK_HOLD_POOL,"Central exact: R$1,600 rent + R$50 IPTU; page states R$1,700 package already including condomínio, IPTU and demais taxas.","No AC shown; not controlling, but verify thermal comfort/humidity.",total_monthly_cost_needs_confirmation;ac_not_explicit_or_not_relevant;building_block_condition_check,all-in monthly cost unresolved; condition/block check required; AC not explicit,Keep ranked for desk-only comparison; no promotion to close-ready without direct contact.
P9J_38_ROW_DEFERRED_CONTACT_POOL,P3-052,Santana do Livramento,2D,36,45.06,DROP_UNLESS_REACTIVATED_OR_USER_SELECTS_CITY,DESK_HOLD_POOL,"R$1,800 aluguel residencial + Taxas. Exact tax amount is not exposed; call before action for all-in monthly package.",AC not shown. Do not count AC unless direct contact confirms it.,total_monthly_cost_needs_confirmation;ac_not_explicit_or_not_relevant;building_block_condition_check,all-in monthly cost unresolved; condition/block check required; AC not explicit,Keep ranked for desk-only comparison; no promotion to close-ready without direct contact.
P9J_38_ROW_DEFERRED_CONTACT_POOL,P3-012,Esteio outward / Trensurb corridor,2D house,37,41.45,STALE_RISK_HIGH_HOLD,DESK_HOLD_POOL,"Current replacement: R$1,500 rent + R$43 IPTU; condomínio shown as R$-; total visible monthly package R$1,543 before utilities/insurance/other charges. Old carried-forward R$690 / R$1,673 / R$2,390 anchors are not P9G-current.",AC not shown. Do not count AC for this row unless confirmed by direct contact.,stale_or_unavailable_anchor;exact_address_or_block_unresolved;total_monthly_cost_needs_confirmation;ac_not_explicit_or_not_relevant;building_block_condition_check,stale/unavailable/old-anchor risk; exact address/block unresolved; all-in monthly cost unresolved; condition/block check required; AC not explicit,Keep ranked for desk-only comparison; no promotion to close-ready without direct contact.
P9J_38_ROW_DEFERRED_CONTACT_POOL,P3-057,Santa Vitória do Palmar,2A,38,40.1,STALE_RISK_HIGH_HOLD,DESK_HOLD_POOL,Imovelweb current safer row: R$900 for 10 m² / 1 banheiro; older R$750 row dated 2023 appears but should not replace without agent confirmation.,AC not shown; not controlling for this 2A row but verify ventilation/humidity.,stale_or_unavailable_anchor;total_monthly_cost_needs_confirmation;ac_not_explicit_or_not_relevant;building_block_condition_check,stale/unavailable/old-anchor risk; all-in monthly cost unresolved; condition/block check required; AC not explicit,Keep ranked for desk-only comparison; no promotion to close-ready without direct contact.
P9H_PHONE_ONLY_MICROGAP_REGISTER,P3-069,Barra do Quaraí,micro-annex 2A,,,PHONE_ONLY_DO_NOT_PROMOTE,PHONE_ONLY_MICROGAP_QUARANTINE,No verified current rent.,Unknown/not verified.,phone_or_private_contact;total_monthly_cost_needs_confirmation;ac_not_explicit_or_not_relevant;explicit_ac_present_but_reverify;building_block_condition_check,Phone-only/local-broker microgap. No current web-closed candidate; remains outside desk finalist pool until direct current evidence exists.,Do not promote; retain as separate local-contact lane only.
P9H_PHONE_ONLY_MICROGAP_REGISTER,P3-070,Barra do Quaraí,micro-annex 2B,,,PHONE_ONLY_DO_NOT_PROMOTE,PHONE_ONLY_MICROGAP_QUARANTINE,No verified current rent.,Unknown/not verified.,phone_or_private_contact;total_monthly_cost_needs_confirmation;ac_not_explicit_or_not_relevant;explicit_ac_present_but_reverify;building_block_condition_check,Phone-only/local-broker microgap. No current web-closed candidate; remains outside desk finalist pool until direct current evidence exists.,Do not promote; retain as separate local-contact lane only.
P9H_PHONE_ONLY_MICROGAP_REGISTER,P3-053,Chuí,2A,,,PHONE_ONLY_DO_NOT_PROMOTE,PHONE_ONLY_MICROGAP_QUARANTINE,No verified current rent.,Unknown/not verified.,phone_or_private_contact;total_monthly_cost_needs_confirmation;ac_not_explicit_or_not_relevant;explicit_ac_present_but_reverify;building_block_condition_check,Phone-only/local-broker microgap. No current web-closed candidate; remains outside desk finalist pool until direct current evidence exists.,Do not promote; retain as separate local-contact lane only.
P9H_PHONE_ONLY_MICROGAP_REGISTER,P3-054,Chuí,2B,,,PHONE_ONLY_DO_NOT_PROMOTE,PHONE_ONLY_MICROGAP_QUARANTINE,No verified current rent.,Unknown/not verified.,phone_or_private_contact;total_monthly_cost_needs_confirmation;ac_not_explicit_or_not_relevant;explicit_ac_present_but_reverify;building_block_condition_check,Phone-only/local-broker microgap. No current web-closed candidate; remains outside desk finalist pool until direct current evidence exists.,Do not promote; retain as separate local-contact lane only.
P9H_PHONE_ONLY_MICROGAP_REGISTER,P3-055,Chuí,2C,,,PHONE_ONLY_DO_NOT_PROMOTE,PHONE_ONLY_MICROGAP_QUARANTINE,No verified current rent.,Unknown/not verified.,phone_or_private_contact;total_monthly_cost_needs_confirmation;ac_not_explicit_or_not_relevant;explicit_ac_present_but_reverify;building_block_condition_check,Phone-only/local-broker microgap. No current web-closed candidate; remains outside desk finalist pool until direct current evidence exists.,Do not promote; retain as separate local-contact lane only.
P9H_PHONE_ONLY_MICROGAP_REGISTER,P3-056,Chuí,2D,,,PHONE_ONLY_DO_NOT_PROMOTE,PHONE_ONLY_MICROGAP_QUARANTINE,No verified current rent.,Unknown/not verified.,phone_or_private_contact;total_monthly_cost_needs_confirmation;ac_not_explicit_or_not_relevant;explicit_ac_present_but_reverify;building_block_condition_check,Phone-only/local-broker microgap. No current web-closed candidate; remains outside desk finalist pool until direct current evidence exists.,Do not promote; retain as separate local-contact lane only.
P9H_PHONE_ONLY_MICROGAP_REGISTER,P3-065,Quaraí,2A,,,PHONE_ONLY_DO_NOT_PROMOTE,PHONE_ONLY_MICROGAP_QUARANTINE,Archived prices only; no verified current rent.,Unknown/not verified.,phone_or_private_contact;total_monthly_cost_needs_confirmation;ac_not_explicit_or_not_relevant;explicit_ac_present_but_reverify;building_block_condition_check,Phone-only/local-broker microgap. No current web-closed candidate; remains outside desk finalist pool until direct current evidence exists.,Do not promote; retain as separate local-contact lane only.
P9H_PHONE_ONLY_MICROGAP_REGISTER,P3-066,Quaraí,2B,,,PHONE_ONLY_DO_NOT_PROMOTE,PHONE_ONLY_MICROGAP_QUARANTINE,Archived prices only; no verified current rent.,Unknown/not verified.,phone_or_private_contact;total_monthly_cost_needs_confirmation;ac_not_explicit_or_not_relevant;explicit_ac_present_but_reverify;building_block_condition_check,Phone-only/local-broker microgap. No current web-closed candidate; remains outside desk finalist pool until direct current evidence exists.,Do not promote; retain as separate local-contact lane only.
P9H_PHONE_ONLY_MICROGAP_REGISTER,P3-067,Quaraí,2C,,,PHONE_ONLY_DO_NOT_PROMOTE,PHONE_ONLY_MICROGAP_QUARANTINE,Archived prices only; no verified current rent.,Unknown/not verified.,phone_or_private_contact;total_monthly_cost_needs_confirmation;ac_not_explicit_or_not_relevant;explicit_ac_present_but_reverify;building_block_condition_check,Phone-only/local-broker microgap. No current web-closed candidate; remains outside desk finalist pool until direct current evidence exists.,Do not promote; retain as separate local-contact lane only.
P9H_PHONE_ONLY_MICROGAP_REGISTER,P3-068,Quaraí,2D,,,PHONE_ONLY_DO_NOT_PROMOTE,PHONE_ONLY_MICROGAP_QUARANTINE,Archived prices only; no verified current rent.,Unknown/not verified.,phone_or_private_contact;total_monthly_cost_needs_confirmation;ac_not_explicit_or_not_relevant;explicit_ac_present_but_reverify;building_block_condition_check,Phone-only/local-broker microgap. No current web-closed candidate; remains outside desk finalist pool until direct current evidence exists.,Do not promote; retain as separate local-contact lane only.
