p3_id,unit,bucket,action_rank,action_class,verification_grade,candidate_or_strategy,visible_cost,ac_status,next_verification_step,live_refresh_policy,provenance_state,archived_chat_evidence,archived_chat_titles,source_layers_linked,p2_note,p7_final_lane,p7_stopline_status,p7_remaining_action,p8_lane,p8_action_rule,p8_turn13_status,p9c_turn16_status,p9c_decision_summary,p9c_source_labels,p9c_remaining_risk
P3-003,Florianópolis,2B/2C live-in,5,P9C focused verified - CONFIRMED_LIVE,B+ call before action,"Keep Trindade split cheap lane: Juvêncio Costa R$800 for one person with water/luz included; Radialista R$800 one-person/R$1,000 two-person with water/internet/luz included.","Juvêncio Costa: R$800/month including water and electricity. Radialista: R$800 one person or R$1,000 two people including water, internet and electricity.",No AC shown on cheap leaders.,"Call/refresh before action: verify availability, exact address/block/unit, total monthly cost, AC only where explicit, and building/block conditions.","P6B live-refreshed; before action, call/refresh directly and verify total monthly cost, AC, address, access, and availability.",file-backed carried-forward,yes,Centro vs Vila Portes; Metro Station Safety Line 1; Property Search Continuation; Sebo Inventory Florianópolis Transit,post_all_chats_citypass_leadboard_patch_v1 ; 2026-05-04_post_multicity_property_pass_vFINAL ; 2026-05-06_p6b_live_refresh_cluster_turn10_v1,"P4 archive detail: Archive ranks Trindade/TITRI as the livable unit seam. Juvêncio Costa at R$800 is the cheapest strong lead; Edison Areas at R$900 and Maria Juliana Cordeiro at R$900 single/R$1,100 couple are backups. Bento Águido Vieira at R$1,150–1,200 is the predictable-cost tiny option. | P6B: The archived Trindade/TITRI price anchor is live-confirmed: Rua Juvêncio Costa small furnished kitnet is still listed at R$800/month, water and electricity included, one-person restriction. Add Radialista Carlos Alberto Campos as a second R$800 all-in-ish Trindade probe; no strict AC proof on the cheapest rows.",P7-A CURRENT_WINNER_OR_REFRESHED_WINNER,"Final board row retained at P7 stopline; P5-A winner-change refresh is closed. Do not act without direct listing/agent verification of availability, total monthly cost, exact address, AC claim, and block conditions.",No winner-change refresh pending; standard pre-action verification only if selected.,P8-1 BEST_CURRENT_OR_LIVE_REFRESHED,"best-current/refreshed candidate; still verify before action; AC evidence may exist, re-verify exact current listing before relying on it",updated_by_P9C_turn16,confirmed_live,"Both are low-cost private/owner MGF rows; direct contact required for availability, one-person rule, entry/privacy, ventilation, and exact TITRI/UFSC logistics.",https://sc.mgfimoveis.com.br/alugo-kitnet-pequena-na-trindade-aluguel-sc-florianopolis-300149035 | https://sc.mgfimoveis.com.br/kitinete1na1trindade1aluguel1sc1florianopolis1kitinete1mobiliada1internet1no-297346724,listing volatility; direct contact required before action
P3-004,Florianópolis,2D house/storage,5,P9C focused verified - CONFIRMED_LIVE,A- call before action,Keep Conselheiro Mafra Centro 1BR condo-house as price winner; keep Oge Fortkamp Trindade 3BR as AC fallback.,"Conselheiro Mafra: R$1,600/month including IPTU, trash, water and sewer; electricity extra. Oge Fortkamp: R$2,300/month, utilities/internet not included, IPTU included.",Price winner no AC shown. Oge Fortkamp explicitly has AC in two bedrooms.,"Call/refresh before action: verify availability, exact address/block/unit, total monthly cost, AC only where explicit, and building/block conditions.","P6B live-refreshed; before action, call/refresh directly and verify total monthly cost, AC, address, access, and availability.",file-backed carried-forward,yes,Centro vs Vila Portes; Metro Station Safety Line 1; Property Search Continuation; Sebo Inventory Florianópolis Transit,post_all_chats_citypass_leadboard_patch_v1 ; 2026-05-04_post_multicity_property_pass_vFINAL ; 2026-05-06_p6b_live_refresh_cluster_turn10_v1,"P4 archive detail: Archive says houses are viable only if a top anomaly lands. Best mission-fit house is Rua Conselheiro Mafra 1BR in Centro at R$1,700 + electricity; best operation lead is Av. Mauro Ramos commercial house at R$3,000; best livable house is Rua Oge Fortkamp, Trindade, 3BR furnished, AC in two rooms. | P6B: Keep the Centro/TICEN Conselheiro Mafra small house as the price winner, now sharpened to a R$1,600 row with water/sewer/trash/IPTU included and electricity extra. Keep Rua Oge Fortkamp / Trindade as the strict-AC livable/storage fallback at R$2,300 plus utilities; it has AC in two bedrooms.",P7-A CURRENT_WINNER_OR_REFRESHED_WINNER,"Final board row retained at P7 stopline; P5-A winner-change refresh is closed. Do not act without direct listing/agent verification of availability, total monthly cost, exact address, AC claim, and block conditions.",No winner-change refresh pending; standard pre-action verification only if selected.,P8-1 BEST_CURRENT_OR_LIVE_REFRESHED,best-current/refreshed candidate; still verify before action; AC not confirmed from current row,updated_by_P9C_turn16,confirmed_live,"Conselheiro Mafra is strong if Centro/TICEN logistics dominate; verify entrance, humidity/security, storage allowance, first/last month terms, and electrical capacity. Oge requires confirming direct-owner contract, no-garage issue, and shared-terrain setup.",https://sc.mgfimoveis.com.br/aluguel-casa-residencial-no-centro-florianopolis-aluguel-sc-florianopolis-299201267 | https://sc.mgfimoveis.com.br/alugo-casa-3-quartos-trindade-lado-ufsc-aluguel-sc-florianopolis-301386857,listing volatility; direct contact required before action
P3-020,Pelotas,2A sala,5,P9C focused verified - CONFIRMED_LIVE,A- call before action,Keep Edifício Magnus / Rua Voluntários da Pátria 38 m² sala as practical 2A lead.,R$650 rent + R$290 condomínio = R$940/month total shown.,"No AC shown; page describes reception, atendimento room, private bathroom, alteration possible, commercial-hours portaria/alarm.","Call/refresh before action: verify availability, exact address/block/unit, total monthly cost, AC only where explicit, and building/block conditions.",P6A live refresh completed; do one final listing/agent check immediately before action.,file-backed carried-forward ; P6A_live_refreshed,yes,Property Search Continuation; Sebo Inventory Florianópolis Transit,post_all_chats_citypass_leadboard_patch_v1 ; 2026-05-04_post_multicity_property_pass_vFINAL ; 2026-05-06_p6a_live_refresh_cluster_turn9_v1,"P4 archive detail: Archive says Pelotas 2A is better than expected. Félix da Cunha R$480 is the tiny price anchor; Mercado 20.42 m² R$870 is better for book handling; Voluntários da Pátria / Ed. Magnus 38 m² at R$940 may be the practical winner. | P6A: Confirm Edifício Magnus / Voluntários da Pátria as current practical 2A winner at total R$940. Earlier Félix da Cunha micro-price anchor was not live-verified in this pass, so it stays archival/probe only.",P7-A CURRENT_WINNER_OR_REFRESHED_WINNER,"Final board row retained at P7 stopline; P5-A winner-change refresh is closed. Do not act without direct listing/agent verification of availability, total monthly cost, exact address, AC claim, and block conditions.",No winner-change refresh pending; standard pre-action verification only if selected.,P8-1 BEST_CURRENT_OR_LIVE_REFRESHED,best-current/refreshed candidate; still verify before action; AC not confirmed from current row,updated_by_P9C_turn16,confirmed_live,"Live/current page says updated 6 days, Edifício Magnus, portaria in commercial hours and alarm at night. Verify availability, access hours, floor changes, insurance/fire rules, and AC/split permission before action.",https://rs.mgfimoveis.com.br/pelotas-conjunto-comercialsala-centro-aluguel-rs-pelotas-288246894,listing volatility; direct contact required before action
P3-023,Pelotas,casa comercial,5,P9C focused verified - UPDATED_PARTIAL_DEMOTE_CHEAP_ANCHOR,B call/refresh before action,Demote José do Patrocínio cheap storefront to stale/unverified in P9C because Chaves returned only a shell/no useful live details. Keep Barão de Santa Tecla 116 m² as live mission-fit casa-comercial lead.,"Barão de Santa Tecla: R$2,350/month rent shown. José do Patrocínio: not re-confirmed from current page in P9C.",AC not confirmed on live mission-fit lead.,"Call/refresh before action: verify availability, exact address/block/unit, total monthly cost, AC only where explicit, and building/block conditions.",P6A live refresh completed; do one final listing/agent check immediately before action.,file-backed carried-forward ; P6A_live_refreshed,yes,Property Search Continuation; Sebo Inventory Florianópolis Transit,post_all_chats_citypass_leadboard_patch_v1 ; 2026-05-04_post_multicity_property_pass_vFINAL ; 2026-05-06_p6a_live_refresh_cluster_turn9_v1,"P4 archive detail: Archive gives a distinct casa-comercial board. Rua Santa Cruz 118 m² is the cheap central first call; Barão de Santa Tecla 116 m² is the cleanest book/admin/receiving candidate; José do Patrocínio 45 m² is the storefront option; the R$750–850 Barão anomaly must be verified hard. | P6A: Use José do Patrocínio as the cheapest clean current web-verifiable casa-comercial lead at R$1,525 full visible. Keep Barão de Santa Tecla 116 m² at R$2,350 as best mission-fit/open-layout lead. The old Barão anomaly remains verify-hard and is not promoted.",P7-A CURRENT_WINNER_OR_REFRESHED_WINNER,"Final board row retained at P7 stopline; P5-A winner-change refresh is closed. Do not act without direct listing/agent verification of availability, total monthly cost, exact address, AC claim, and block conditions.",No winner-change refresh pending; standard pre-action verification only if selected.,P8-1 BEST_CURRENT_OR_LIVE_REFRESHED,"best-current/refreshed candidate; still verify before action; AC evidence may exist, re-verify exact current listing before relying on it",updated_by_P9C_turn16,updated_partial_demote_cheap_anchor,"Barão page live/current with 116 m², 2 bathrooms, renovated, high-flow area between Tiradentes and Lobo da Costa. Cheap storefront needs direct refresh/call before it can remain a price anchor.",https://www.chavesnamao.com.br/imovel/casa-comercial-para-alugar-rs-pelotas-centro-45m2-RS1500/id-36671436/ | https://rs.mgfimoveis.com.br/pelotas-casa-comercial-centro-aluguel-rs-pelotas-299039243,listing volatility; direct contact required before action
P3-008,Porto Alegre Centro,2A sala,5,P6A live-refreshed; verify before action,B,"Price: Rua dos Andradas 16 m² total R$791. Practical small: Andradas 1137 27 m² full visible R$1,007. Size/value: Galeria Malcon 65 m² ~R$1,200.","R$791 price lane; R$1,007 practical small; ~R$1,200 size/value",No AC on price winner; separate AC row exists but fees are unclear.,"Confirm exact address/unit, building flood status, portaria hours, power/AC capability, and whether total package includes all mandatory fees.",P6A live refresh completed; do one final listing/agent check immediately before action.,file-backed carried-forward ; P6A_live_refreshed,yes,Centro vs Vila Portes; Cheapest Kitnet Near Santos; Metro Station Safety Line 1; Property Search Continuation; Sebo Inventory Florianópolis Transit,post_all_chats_citypass_leadboard_patch_v1 ; 2026-05-04_post_multicity_property_pass_vFINAL ; 2026-05-06_p6a_live_refresh_cluster_turn9_v1,"P4 archive detail: Archive identifies Rua dos Andradas/Riachuelo/Borges/Vigário as the sala seam. Andradas 1137 at R$600 base is the cheap micro-sala; Andradas 1560 Galeria Malcon, 65 m² at R$1,165 + fire insurance, is the practical size/value lead. | P6A: Update 2A price lane: smallest clean current package is Rua dos Andradas at about R$791 total via Auxiliadora; Andradas 1137 remains a stronger 27 m² reference at R$1,007 full visible. Galeria Malcon remains larger fallback at ~R$1,200.",P7-A CURRENT_WINNER_OR_REFRESHED_WINNER,"Final board row retained at P7 stopline; P5-A winner-change refresh is closed. Do not act without direct listing/agent verification of availability, total monthly cost, exact address, AC claim, and block conditions.",No winner-change refresh pending; standard pre-action verification only if selected.,P8-1 BEST_CURRENT_OR_LIVE_REFRESHED,best-current/refreshed candidate; still verify before action; AC not confirmed from current row,Carried forward from P7; no new live refresh in P8 control consolidation.,,,,
P3-009,Porto Alegre Centro,2B/2C JK/live-in,5,P6A live-refreshed; verify before action,B,Cheap: Coronel Vicente 17 m² R$585 total. Mission-fit: Riachuelo 30 m² R$885 total. Backup: Vigário José Inácio ~R$891+.,R$585 cheap; R$885 mission-fit; ~R$891+ backup,No AC proof on cheap leaders.,"Verify post-flood building conditions, safety, noise, elevators/portaria, and availability before action.",P6A live refresh completed; do one final listing/agent check immediately before action.,file-backed carried-forward ; P6A_live_refreshed,yes,Centro vs Vila Portes; Cheapest Kitnet Near Santos; Metro Station Safety Line 1; Property Search Continuation; Sebo Inventory Florianópolis Transit,post_all_chats_citypass_leadboard_patch_v1 ; 2026-05-06_p6a_live_refresh_cluster_turn9_v1,"P4 archive detail: Archive says Porto Alegre is excellent for cheap central JKs. Cheapest is Rua Coronel Vicente R$585 total, 17 m². Best sebo-weighted live-in lead is Rua Riachuelo R$885/30 m². Vigário José Inácio creates a repeatable low-stack backup seam. | P6A: Confirm Coronel Vicente as cheap price winner at R$585 total; keep Riachuelo as better mission-fit live-in at R$885 total; Vigário José Inácio remains repeatable backup around R$891–1,150 depending listing.",P7-A CURRENT_WINNER_OR_REFRESHED_WINNER,"Final board row retained at P7 stopline; P5-A winner-change refresh is closed. Do not act without direct listing/agent verification of availability, total monthly cost, exact address, AC claim, and block conditions.",No winner-change refresh pending; standard pre-action verification only if selected.,P8-1 BEST_CURRENT_OR_LIVE_REFRESHED,best-current/refreshed candidate; still verify before action; AC not confirmed from current row,Carried forward from P7; no new live refresh in P8 control consolidation.,,,,
P3-010,Porto Alegre Centro,2D house/storage,5,P6A live-refreshed; verify before action,B,"General Vitorino 76 m² commercial-house/clinic, total R$2,700, AC in all environments.","R$2,700 total",Explicit AC in all environments.,"Verify suitability for book storage, flood/damp risk, insurance, operating restrictions, and whether residence/live-in is prohibited.",P6A live refresh completed; do one final listing/agent check immediately before action.,file-backed carried-forward ; P6A_live_refreshed,yes,Centro vs Vila Portes; Cheapest Kitnet Near Santos; Metro Station Safety Line 1; Property Search Continuation; Sebo Inventory Florianópolis Transit,post_all_chats_citypass_leadboard_patch_v1 ; 2026-05-04_post_multicity_property_pass_vFINAL ; 2026-05-06_p6a_live_refresh_cluster_turn9_v1,"P4 archive detail: Archive ranks house/storage options separately. Barão do Triunfo 2BR/100 m² is the best residential house at ~R$1,648; General Vitorino 76 m² is the best central commercial-house at R$2,700 total with AC; Álvaro Chaves is the serious storage/logistics lead. | P6A: Confirm General Vitorino commercial-house/clinic at R$2,700 with AC in all environments. Barão do Triunfo search refreshed as a sala/commercial room, not a residential house replacement; residential house/storage remains action-probe only.",P7-A CURRENT_WINNER_OR_REFRESHED_WINNER,"Final board row retained at P7 stopline; P5-A winner-change refresh is closed. Do not act without direct listing/agent verification of availability, total monthly cost, exact address, AC claim, and block conditions.",No winner-change refresh pending; standard pre-action verification only if selected.,P8-1 BEST_CURRENT_OR_LIVE_REFRESHED,"best-current/refreshed candidate; still verify before action; AC evidence may exist, re-verify exact current listing before relying on it",Carried forward from P7; no new live refresh in P8 control consolidation.,,,,
P3-013,Rio de Janeiro,2A sala,5,P6A live-refreshed; verify before action,B,"Price: Praça Tiradentes 30–40 m² R$1,050 full visible. Fallback: Ouvidor 40 m² R$1,230. AC: Paço do Ouvidor R$1,600.","R$1,050 price; R$1,230 simple fallback; R$1,600 AC fallback",Price winner no AC shown; AC fallback explicit.,"Verify building hours, security, post-work access, and whether Centro block conditions are acceptable.",P6A live refresh completed; do one final listing/agent check immediately before action.,file-backed carried-forward ; P6A_live_refreshed,yes,Centro vs Vila Portes; Cheapest Kitnet Near Santos; Metro Station Safety Line 1; Property Search Continuation; Sebo Inventory Florianópolis Transit,post_all_chats_citypass_leadboard_patch_v1 ; 2026-05-04_post_multicity_property_pass_vFINAL ; 2026-05-06_p6a_live_refresh_cluster_turn9_v1,"P4 archive detail: Archive carried forward the Centro/Praça Tiradentes/Ouvidor sala lane with Praça Tiradentes 40 m², Ouvidor 31 m², and Rosário 32 m² as the operative leads. P4 marks details loaded but live refresh still required before action. | P6A: Promote Praça Tiradentes as current price sala lead at full visible R$1,050; keep Rua do Ouvidor 63 as a simple 40 m² fallback at R$1,230; keep Paço do Ouvidor AC room as AC fallback at R$1,600.",P7-A CURRENT_WINNER_OR_REFRESHED_WINNER,"Final board row retained at P7 stopline; P5-A winner-change refresh is closed. Do not act without direct listing/agent verification of availability, total monthly cost, exact address, AC claim, and block conditions.",No winner-change refresh pending; standard pre-action verification only if selected.,P8-1 BEST_CURRENT_OR_LIVE_REFRESHED,"best-current/refreshed candidate; still verify before action; AC evidence may exist, re-verify exact current listing before relying on it",Carried forward from P7; no new live refresh in P8 control consolidation.,,,,
P3-014,Rio de Janeiro,2B/2C live-in,5,P6A live-refreshed; verify before action,B,"Rua General Roca, Tijuca, 24 m² AC kitnet, total R$1,336.","R$1,336 total",Explicit AC.,"Confirm current availability, exact unit, AC condition, Saens Peña block safety/noise, and all fees.",P6A live refresh completed; do one final listing/agent check immediately before action.,file-backed carried-forward ; P6A_live_refreshed,yes,Centro vs Vila Portes; Cheapest Kitnet Near Santos; Metro Station Safety Line 1; Property Search Continuation; Sebo Inventory Florianópolis Transit,post_all_chats_citypass_leadboard_patch_v1 ; 2026-05-04_post_multicity_property_pass_vFINAL ; 2026-05-06_p6a_live_refresh_cluster_turn9_v1,"P4 archive detail: Archive carried forward Tijuca/Saens Peña as the residential answer, with General Roca as the AC lead and Evaristo da Veiga as the Centro fallback. P4 does not live-refresh Rio. | P6A: Promote General Roca / Tijuca AC kitnet as live-in strict-AC winner at total R$1,336. The Evaristo da Veiga Centro fallback is current but no AC and has fee-total inconsistency, so it is not the winner.",P7-A CURRENT_WINNER_OR_REFRESHED_WINNER,"Final board row retained at P7 stopline; P5-A winner-change refresh is closed. Do not act without direct listing/agent verification of availability, total monthly cost, exact address, AC claim, and block conditions.",No winner-change refresh pending; standard pre-action verification only if selected.,P8-1 BEST_CURRENT_OR_LIVE_REFRESHED,"best-current/refreshed candidate; still verify before action; AC evidence may exist, re-verify exact current listing before relying on it",Carried forward from P7; no new live refresh in P8 control consolidation.,,,,
P3-015,Rio de Janeiro,2D house/storage,5,P6A live-refreshed; verify before action,B,"Rua Santa Luísa, 70 m² 3BR house, total R$2,985, AC.","R$2,985 total",Explicit AC.,"Verify access, security, storage/humidity, and whether the house layout fits book operations.",P6A live refresh completed; do one final listing/agent check immediately before action.,file-backed carried-forward ; P6A_live_refreshed,yes,Centro vs Vila Portes; Cheapest Kitnet Near Santos; Metro Station Safety Line 1; Property Search Continuation; Sebo Inventory Florianópolis Transit,post_all_chats_citypass_leadboard_patch_v1 ; 2026-05-04_post_multicity_property_pass_vFINAL ; 2026-05-06_p6a_live_refresh_cluster_turn9_v1,"P4 archive detail: Archive carried forward the Tijuca/Maracanã/Engenho Novo house-storage framing, especially Santa Luísa and Visconde de Santa Cruz. P4 keeps this as archive-loaded, not live-action-ready. | P6A: Confirm Rua Santa Luísa / Maracanã-Tijuca house as current AC house/storage lead at total R$2,985. It is not cheap, but it is the current web-verifiable AC house in the preferred Tijuca/Maracanã lane.",P7-A CURRENT_WINNER_OR_REFRESHED_WINNER,"Final board row retained at P7 stopline; P5-A winner-change refresh is closed. Do not act without direct listing/agent verification of availability, total monthly cost, exact address, AC claim, and block conditions.",No winner-change refresh pending; standard pre-action verification only if selected.,P8-1 BEST_CURRENT_OR_LIVE_REFRESHED,"best-current/refreshed candidate; still verify before action; AC evidence may exist, re-verify exact current listing before relying on it",Carried forward from P7; no new live refresh in P8 control consolidation.,,,,
P3-050,Santana do Livramento,2B,2,P9A focused verified - CONFIRMED_CURRENT_STANDARD_VERIFY,B+,"Centro, same quadra da UNIPAMPA, direct-owner kitchenette/JK row with individualized entrance; backup furnished JK also central/UNIPAMPA.",Price winner: R$600 rent + R$70 water + R$70 light + optional R$70 internet = R$740–810. Complete fallback: R$700 rent + fixed R$210 utilities/internet = R$910.,AC not shown in either row.,"Before action, contact owner to confirm exact address, current availability, deposit, internet optionality, ventilation, entry/security, pet policy, and whether any AC/fan setup exists.","P9A focused verification completed; call/refresh immediately before action, no broad crawl.",file-backed/current patch ; p6c_live_refresh,yes,Centro vs Vila Portes; Property Search Continuation,post_all_chats_citypass_leadboard_patch_v1 ; 2026-05-04_post_uruguaiana_reset_vFINAL ; 2026-05-04_post_border_axis_extension_vFINAL ; 2026-05-06_p6c_mini_refresh_turn11_v1,P6C: live_refreshed_price_winner_changed_to_r600_unipampa_cluster,P7-A CURRENT_WINNER_OR_REFRESHED_WINNER,"Final board row retained at P7 stopline; P5-A winner-change refresh is closed. Do not act without direct listing/agent verification of availability, total monthly cost, exact address, AC claim, and block conditions.",No winner-change refresh pending; standard pre-action verification only if selected.,P8-1 BEST_CURRENT_OR_LIVE_REFRESHED,"best-current/refreshed candidate; still verify before action; AC evidence may exist, re-verify exact current listing before relying on it",superseded_by_P9A_turn14,,,,
P3-044,Belo Horizonte,2D storage/practical,2,P9A focused verified - CONFIRMED_BUT_STALE_CALL_FIRST,B- call-first,"Rua Rio Grande do Sul, Barro Preto, 100 m², 3 quartos, 2 banheiros, apartment-storage/practical large row.","R$1,800 rent + R$200 condo + R$189 IPTU = R$2,189 visible.","AC not shown; listing emphasizes airy/spacious windows, not ar-condicionado.","Call/refresh before acting: listing is older; verify availability, exact building, loading/storage rules, elevator, AC/ventilation, and whether fees changed.","P9A focused verification completed; call/refresh immediately before action, no broad crawl.",current_conversation_patch,yes,Centro vs Vila Portes; Cheapest Kitnet Near Santos; Metro Station Safety Line 1; Property Search Continuation; Sebo Inventory Florianópolis Transit,post_all_chats_citypass_leadboard_patch_v1 ; 2026-05-04_current_chat_patch ; 2026-05-06_p6b_live_refresh_cluster_turn10_v1," | P6B: Keep Rua Rio Grande do Sul / Barro Preto 100 m² 3BR as the price/storage practical row, with R$1,800 rent + R$200 condo + R$189 IPTU = R$2,189 visible. Currentness is weaker than the smaller rows, so it remains before-action call-first rather than strict live-ready.",P7-A CURRENT_WINNER_OR_REFRESHED_WINNER,"Final board row retained at P7 stopline; P5-A winner-change refresh is closed. Do not act without direct listing/agent verification of availability, total monthly cost, exact address, AC claim, and block conditions.",No winner-change refresh pending; standard pre-action verification only if selected.,P8-1 BEST_CURRENT_OR_LIVE_REFRESHED,"best-current/refreshed candidate; still verify before action; AC evidence may exist, re-verify exact current listing before relying on it",superseded_by_P9A_turn14,,,,
P3-018,Campinas,2D house/storage,5,P9C focused verified - CONFIRMED_LIVE,B+ call before action,"Keep Rua Taubaté 80 m² house as cheap 2D house/storage probe; separate R$1,500 front-independent fallback also live.","Primary: R$1,400 rent shown; fees not exposed. Fallback: R$1,500 rent; fire insurance required.",No AC shown on primary/fallback.,"Call/refresh before action: verify availability, exact address/block/unit, total monthly cost, AC only where explicit, and building/block conditions.",P6A live refresh completed; do one final listing/agent check immediately before action.,file-backed carried-forward ; P6A_live_refreshed,yes,Centro vs Vila Portes; Cheapest Kitnet Near Santos; Metro Station Safety Line 1; Property Search Continuation; Sebo Inventory Florianópolis Transit,post_all_chats_citypass_leadboard_patch_v1 ; 2026-05-04_post_multicity_property_pass_vFINAL ; 2026-05-06_p6a_live_refresh_cluster_turn9_v1,"P4 archive detail: Archive identifies Vila Industrial as the cheap near-core house lane. Rua Taubaté 2BR/80 m² at R$1,500 + fire insurance is first call; Av. Dr. Carlos de Campos 3BR/190 m² at R$1,800 is the bigger value lead. | P6A: Replace archived R$1,500 Taubaté first-call with fresher Rua Taubaté R$1,400 house: 80 m², 2 dorms, 1 bath, garage, veranda. No AC or fees shown, so it is a cheap house/storage probe, not strict-AC.",P7-A CURRENT_WINNER_OR_REFRESHED_WINNER,"Final board row retained at P7 stopline; P5-A winner-change refresh is closed. Do not act without direct listing/agent verification of availability, total monthly cost, exact address, AC claim, and block conditions.",No winner-change refresh pending; standard pre-action verification only if selected.,P8-1 BEST_CURRENT_OR_LIVE_REFRESHED,best-current/refreshed candidate; still verify before action; AC not confirmed from current row,updated_by_P9C_turn16,confirmed_live,"Primary row is semi-shared access, no large pets, finishing renovation; verify total fees, status, damp/ventilation, entry rules, and storage suitability.",https://sp.mgfimoveis.com.br/casa-vila-industrial-campinas-aluguel-sp-campinas-299232956 | https://sp.mgfimoveis.com.br/casa-vila-industrial-campinas-aluguel-sp-campinas-302887861,listing volatility; direct contact required before action
P3-007,Curitiba,2D house/storage,5,P9C focused verified - CONFIRMED_LIVE_WITH_STALENESS_NOTE,B call before action,Keep Capão Raso cheap value-terminal winner and Lamenha Lins mission-fit fallback; neither is AC-led.,"Capão Raso: R$1,190 rent, fees not exposed. Lamenha Lins: R$3,500 rent + R$318.78 IPTU + R$175 FCI + R$86.91 fire insurance = about R$4,080.69/month.",No AC shown on cheap winner; no AC basis for fallback.,"Call/refresh before action: verify availability, exact address/block/unit, total monthly cost, AC only where explicit, and building/block conditions.","P6B live-refreshed; before action, call/refresh directly and verify total monthly cost, AC, address, access, and availability.",file-backed carried-forward,yes,Centro vs Vila Portes; Metro Station Safety Line 1; Property Search Continuation; Sebo Inventory Florianópolis Transit,post_all_chats_citypass_leadboard_patch_v1 ; 2026-05-04_post_multicity_property_pass_vFINAL ; 2026-05-06_p6b_live_refresh_cluster_turn10_v1,"P4 archive detail: Archive ranks houses as viable only if storage/garage/yard matters. The first-call near-core house is Rua Lamenha Lins, Rebouças, 2BR/55 m², ~R$1,378 total; Capão Raso/Pinheirinho is the best value terminal lane. | P6B: The archived cheap Rebouças near-core house did not survive as a current cheap lead. Keep Capão Raso/Pinheirinho as the current cheap 2D value-terminal winner at R$1,190; Rebouças/Lamenha Lins becomes a much pricier mission-fit/storage fallback, not a price winner.",P7-A CURRENT_WINNER_OR_REFRESHED_WINNER,"Final board row retained at P7 stopline; P5-A winner-change refresh is closed. Do not act without direct listing/agent verification of availability, total monthly cost, exact address, AC claim, and block conditions.",No winner-change refresh pending; standard pre-action verification only if selected.,P8-1 BEST_CURRENT_OR_LIVE_REFRESHED,best-current/refreshed candidate; still verify before action; AC not confirmed from current row,updated_by_P9C_turn16,confirmed_live_with_staleness_note,Capão Raso page is >1 month old but still listed. Lamenha Lins fallback live/current with values subject to change; verify branch of insurance if commercial use.,https://pr.mgfimoveis.com.br/casa-sobrado-2-quartos-capao-raso-aluguel-pr-curitiba-303374718 | https://cibraco.com.br/imovel/CA0156-PAR/casa-comercial-3-quartos-rebou%C3%A7as-curitiba/,listing volatility; direct contact required before action
P3-012,Esteio outward / Trensurb corridor,2D house,5,Best actionable now - live-refreshed P6C,B-,"Price anchor: Rua Senador Salgado Filho, Centro, Esteio, 2BR/1 bath/40m² house at R$690/month, no AC shown and fees not exposed. Complete fallback: Rua Negrinho do Pastoreio, Novo Esteio, 2BR/72m² at R$1,650 + R$23 condomínio = R$1,673 visible. Strict-AC fallback: São Sebastião semi-mobiliada at R$2,390/month with split in main bedroom; better comfort but not price winner.","R$690/month price anchor; R$1,673 visible complete fallback; R$2,390 strict-AC fallback.",Price anchor: no AC shown. Complete fallback: no AC shown. Strict-AC fallback: split in main bedroom only; verify installed/working.,"Before action: confirm current availability, exact number/block, total monthly fees, utility responsibility, walk/time to Estação Esteio, safety/noise/damp, and whether any AC is installed.",P6C live-refreshed; verify before action; live refresh no longer winner-changing unless acting now.,file-backed carried-forward ; p6c_live_refresh,yes,Centro vs Vila Portes; Property Search Continuation; Sebo Inventory Florianópolis Transit,post_all_chats_citypass_leadboard_patch_v1 ; 2026-05-04_post_multicity_property_pass_vFINAL ; 2026-05-06_p6c_mini_refresh_turn11_v1,"P4 archive detail: Archive confirms house options were run after the outward/AC passes, but the detailed house row should stay less actionable than the kitnet/AC row until a fresh live house refresh is done. Preserve Sapucaia value / São Leopoldo book-capable framing. P6C: live_refreshed_price_anchor_promoted_with_no_ac_caveat",P7-A CURRENT_WINNER_OR_REFRESHED_WINNER,"Final board row retained at P7 stopline; P5-A winner-change refresh is closed. Do not act without direct listing/agent verification of availability, total monthly cost, exact address, AC claim, and block conditions.",No winner-change refresh pending; standard pre-action verification only if selected.,P8-1 BEST_CURRENT_OR_LIVE_REFRESHED,"best-current/refreshed candidate; still verify before action; AC evidence may exist, re-verify exact current listing before relying on it",Carried forward from P7; no new live refresh in P8 control consolidation.,,,,
