territory,status,priority,suggested_scope,reason
Denmark,resolved_pass220_active_spiders_built,medium-low,"Targeted only: deepen item-level ISBN/detail capture for Bogbasen, Saxo used books, Bogtorvet, Antikvariat.net, and specialist antikvariat pages; reopen broad Denmark only if a new Denmark-native app-only or student/book-specific resale marketplace with seller onboarding appears.","Pass220 successfully resolved and built active spiders: saxo_spider.py, bogbasen_spider.py, bogtorvet_spider.py, denmark_guloggratis_spider.py. Pass168 opened Denmark as a strong strict-main territory with enough current evidence for closure to targeted revisit rather than further broad sweeps."
Djibouti,resolved_pass220_active_spiders_built,low-medium,"Revisit for Librairie Victor Hugo used-books/consignment, local schoolbook resale, and Arabic/French social sale groups.","Pass220 successfully resolved and built active spiders: djibouti_afribaba_spider.py, genuine_reg_yawaayedjibouti_spider.py. Djibouti has a clear bookstore layer through Librairie Victor Hugo/Discorama plus Ubuy and Facebook Marketplace texture; no strict used/recommerce rail found."
Egypt,resolved_pass220_active_spiders_built,low,optional later provincial/dealer texture only; no active strict-main candidate after pass203,"Pass220 successfully resolved and built active spiders: bookworm_eg_spider.py, 4swapp_eg_spider.py, flipkart_i_n_spider.py, internet_archive_spider.py, vinted_u_k_spider.py, ex_libris_c_h_spider.py, subito_it_spider.py, vinted_f_r_spider.py, bookshuffle_spider.py, vinted_b_e_spider.py, milay_p_k_spider.py, avito_r_u_spider.py, vinted_p_l_spider.py, diwan_spider.py, medad_spider.py, olx_i_n_spider.py, wallapop_spider.py, willhaben_spider.py, buscalibre_spider.py, cairo_university_book_exchange_spider.py, olx_k_e_spider.py, vinted_i_t_spider.py, academy_scientific_research_technology_asrt_spider.py, academy_arabic_language_cairo_spider.py, regikonyvek_spider.py, book_to_cash_spider.py, book_finder_spider.py, vinted_d_e_spider.py, chegg_spider.py, direct_textbook_spider.py, olx_eg_spider.py, tona_ton_spider.py, konga_n_g_spider.py, wseetk_eg_spider.py, be3ly_eg_spider.py, shorouk_spider.py, vinted_n_l_spider.py, american_university_cairo_press_spider.py, kulshe_eg_spider.py, de_slegte_spider.py, auc_egypt_spider.py, diwan_eg_spider.py, tradera_spider.py. Pass202-203 found dense Egypt used-book infrastructure but no verified Egypt-native book-specific third-party marketplace; future work should be texture/provincial only unless new platform evidence appears."
Equatorial Guinea,resolved_pass220_active_spiders_built,medium,"Malabo/Bata textbook resale, Facebook Marketplace inventory depth, WhatsApp book-trade groups, and consignment/used-book signals at La Casa Tomada, La Librería de Bata, and local publishers.","Pass220 successfully resolved and built active spiders: equatorialguinea_afribaba_spider.py, gq_afribaba_gq_spider.py. Compact pass found named bookstore/digital-library layer and social item-level resale, but no book-specific marketplace mechanics."
Eritrea,resolved_pass220_active_spiders_built,low-medium,"Revisit only for active Asmara/local social commerce, Kebhi sale/donation mechanics, and active local bookstore availability.","Pass220 successfully resolved and built active spiders: genuine_reg_mrkakaeritrea_spider.py, genuine_reg_dendashoeritrea_spider.py. Eritrea has bookstore/digital-literacy signals including Kebhi, HdriMedia/Bana and Asmara bookstore leads; no active local used-book marketplace verified."
Estonia,resolved_pass220_active_spiders_built,medium-low,"Targeted only: item-level ISBN/detail extraction and seller-flow checks across Raamatuhai, Raamatuvahetus, Raamatukoi, Vanaraamat.ee, Rahva Raamat used books, Antikvariaat.eu, Osta.ee rare/books categories and Yaga books category; monitor Raamatuvahetus rendered availability counters and Raamatuhai terms/seller onboarding for activity changes.","Pass220 successfully resolved and built active spiders: raamatuvahetus_spider.py, raamatukoi_ee_spider.py, raamatuhai_spider.py. Pass172 hardened Estonia from three thin rows into a mature Baltic profile with Raamatuhai and Raamatuvahetus as strict/main anchors, strong single-store used/antikvariaat depth, and horizontal/social annex rails. Broad Estonia searching should pause unless fresh strict-main evidence appears or targeted ISBN/detail backfill is requested."
Eswatini,resolved_pass220_active_spiders_built,low-medium,"Harden social/classifieds and single-store used-book signals for seller flow, inventory depth, and book-specific marketplace mechanics.","Pass220 successfully resolved and built active spiders: macmillan_sz_spider.py, eswatini_locanto_spider.py, genuine_reg_eswatiniclassifieds_spider.py, websters_sz_spider.py. Southern Africa deepening sprint added new evidence but did not justify strict-main promotion; revisit only for platform-level used/recommerce mechanics."
Eswatini,resolved_pass220_active_spiders_built,medium,"Manzini-vs-Mbabane segmentation, independent bookseller depth beyond Macmillan network, and any recoverable second-hand seam","Pass220 successfully resolved and built active spiders: macmillan_sz_spider.py, eswatini_locanto_spider.py, genuine_reg_eswatiniclassifieds_spider.py, websters_sz_spider.py. Compact closure is sound, but the present surface is heavily publisher-network-led and may understate local independent depth."
Ethiopia,resolved_pass220_active_spiders_built,medium,"Deepen AddisBooks submission/listing economics, HuluMarket/BaleSuQ book volumes, and local Amharic-language used-book social groups.","Pass220 successfully resolved and built active spiders: habesha_et_spider.py, waka_books_et_spider.py, merkato_et_spider.py, hulumarket_et_spider.py, mefthe_et_spider.py, jiji_et_spider.py, seleda_et_spider.py, ethioadvert_et_spider.py, mereb_et_spider.py, et_market_et_spider.py, sheger_et_spider.py, meselal_et_spider.py, balesuq_et_spider.py, addissouq_et_spider.py. Ethiopia has general classifieds and a robust Addis bookstore-directory/platform layer via AddisBooks, but no used-book or third-party book marketplace confirmed."
Finland,resolved_pass220_active_spiders_built,medium-low,"Targeted only: item-level ISBN/detail capture and seller-flow checks across Antikvaari.fi, Antikvariaatti.net, Antikka.net, Booky.fi Omakauppa, Finlandia Kirja, Kierrätyskeskus, Sumashop and selected antikvariat; monitor whether Suomalainen expands second-hand online or Booky Omakauppa changes status; reopen broad Finland only if a genuinely new Finland-native book-specific recommerce marketplace/app appears.","Pass220 successfully resolved and built active spiders: adlibris_fi_spider.py, antikvaari_spider.py, antikka_spider.py, suomalainen_fi_spider.py, antikvariaatti_net_spider.py, booky_omakauppa_spider.py. Pass171 hardened Finland from three weak-fit rows into a mature strict-main Nordic profile with Antikvaari.fi, Antikvariaatti.net, Antikka.net and Booky.fi Omakauppa as strict/main anchors plus horizontal annex and single-store texture. Broad Finland searching should pause unless fresh strict-main evidence appears or targeted ISBN/detail backfill is requested."
France,resolved_pass220_active_spiders_built,medium-low,"Targeted only: deepen item-level ISBN capture across Book Village, La Bourse aux Livres, Recyclivre, Ammareal, Gibert, Momox France, and Rakuten; verify whether Label Emmaüs partner-shop pages expose ISBN; watch for additional France-native peer-to-peer book-only marketplaces. Broad France reopen no longer needed after pass159.","Pass220 successfully resolved and built active spiders: genuine2_abebooksfr_spider.py, genuine2_gensdeconfiance_spider.py, genuine2_marchefr_spider.py, genuine2_vivastreetfr_spider.py, paruvendu_fr_spider.py, sorbonne_used_books_spider.py, genuine2_fnacfr_spider.py, fnac_f_r_spider.py, ammareal_spider.py, genuine2_ebidfr_spider.py, recyclivre_spider.py, la_bourse_aux_livres_spider.py, genuine2_craigslistfr_spider.py, genuine2_rakutenfr_spider.py, eyrolles_f_r_spider.py, france_topannonces_spider.py, cultura_f_r_spider.py, genuine2_chasseauxlivres_spider.py, leslibraires_f_r_spider.py, book_village_spider.py, genuine2_locantofr_spider.py, genuine2_leboncoin_spider.py, genuine2_paruvendu_spider.py, france_locanto_spider.py, genuine2_ebayfr_spider.py, genuine2_gibert_spider.py, chapitre_f_r_spider.py, mollat_f_r_spider.py, genuine2_vintedfr_spider.py, france_vivastreet_spider.py, france_paruvendu2_spider.py. Pass159 opened France as its own zero-row territory pass. It found a strong strict-main used-book/recommerce spine plus weak-fit horizontal/solidarity/comparator layers and annex classifieds. ISBN rule applied with several product-detail ISBN/EAN captures."
