territory,region_block,dominant_category,categories_present,site_count,row_count,main_universe,weak_fit_core,single_store_used_booksellers,single_store_bookstore_layer,single_store_used_bookstore_signal,annex_classifieds,used_book_signal_note,offline_fair_literacy_layer,confidence_mix,territory_profile,notes_compact
Austria,DACH,main universe,annex / classifieds; comparator / discovery infrastructure; legacy / dormant / closed; main universe; offline / fair / literacy layer; single-store bookstore layer; single-store used-bookseller; used-book signal (territory note); weak-fit core,21,21,4,4,3,2,0,1,"Strong Austrian used/antiquarian and recommerce layer, but native open third-party strict-main remains less clear than Germany; main-universe fit is mostly DACH/antiquarian portal infrastructure.",4,high:15; medium:1; medium-high:5,"DACH edge territory with mature antiquarian/used-book infrastructure, Austria-facing cross-border strict-main portals, strong operator/retailer buyback programs, and horizontal classifieds shadow layer.","Pass179 hardened Austria: strict-main coverage now comes from Austria-facing DACH/antiquarian marketplaces/portals (ZVAB, booklooker, Buchfreund, Antiquariate in Österreich/Antiquariatsportal), while Austria-native active recommerce is strongest in Bookbot and retailer/Zeercle buyback programs (Tyrolia, Morawa). willhaben remains annex/horizontal despite high volume; Thalia Austria used-book pilot held legacy/closed; Eurobuch retained as comparator/discovery."
Azerbaijan,Caucasus,weak-fit core,annex / classifieds; single-store used booksellers; weak-fit core,5,5,0,2,1,0,0,2,,0,medium:2; medium-high:2; medium-low:1,Classifieds/social resale plus single-store or offline used-book nodes; no verified book-specific marketplace mechanics.,Pass 58-65 hardening added 3 row(s) under strict South America-style governance; no ordinary bookstore promoted to core. No strict-main promotion in this sprint.
Bahrain,Gulf / Arabian Peninsula,weak-fit core,annex / classifieds; offline / fair / literacy layer; single-store bookstore layer; single-store used / bookstore signal; weak-fit core,10,10,0,3,0,2,2,2,Pass57 MENA/West Asia hardening updated with current used-book/recommerce evidence; strict core only where book-specific marketplace/seller mechanics were visible.,1,high:4; low:1; medium:5,Weak-fit / classifieds or bookstore-led territory after hardening.,"Bahrain closes after pass 1 on Jarir + Virgin + Book Mart as the core book-forward rails, National Bookshop + That Al Salasil/WHSmith as bookstore anchors, OpenSooq as horizontal used-book spillover, and the Bahrain International Book Fair as the fair/literacy layer. | Pass57 MENA/West Asia hardening updated with current used-book/recommerce evidence; strict core only where book-specific marketplace/seller mechanics were visible."
Bangladesh,South Asia,weak-fit core,annex / classifieds; annex / social resale; main universe; offline / exchange bookstore; offline / used-book market; weak-fit core,9,9,2,2,0,0,0,1,,0,high:1; medium:6; medium-high:1; medium-low:1,Strict-main / book-specific resale or exchange platform territory.,"Pass87 hardened BookCycle, Booktionary, and Bikroy live category evidence; added Bengal Boi as offline/literacy exchange context only."
Barbados,Caribbean,annex / classifieds,annex / classifieds; offline / fair / literacy layer; single-store used / bookstore signal,6,6,0,0,0,0,1,3,,2,medium:6,"Territory with mixed store-owned used-book or exchange signal, but not a clean marketplace case.","stores and fairs, not marketplace"
Belarus,Eastern Europe,annex / classifieds,annex / classifieds; annex / social book-sale groups; single-store bookstore layer; single-store used / bookstore signal; weak-fit core,10,10,0,2,0,1,1,6,"Belarus has deep classifieds/auction/book-vertical density and a legacy book-specific used-book board, but current strict-main proof was not verified. ISBN rule applied; no ISBN captured in visible surfaces.",0,high:4; low-medium:1; medium:3; medium-high:2,Belarus opened as a books/classifieds/auction-rich but non-strict territory. Current strict main remains empty because the live rails are horizontal/auction/social/store layers and the only book-specific used-board evidence is legacy/current-status unresolved.,"Pass153 zero-surface opening added Kufar, Ay.by books/Bukinistika, Onliner Baraholka, Kupika, IRR, Cogart, BookSale.by legacy, Mybooks, Bestbooks, and a children’s book Facebook group. No strict-main promotion; targeted revisit only."
Belgium,Benelux,main universe,annex / classifieds; annex / social classifieds; main universe; offline / fair / literacy layer; single-store bookstore layer; single-store used booksellers; weak-fit core,16,16,3,2,6,1,0,3,"Pass177 hardens Belgium from four skeletal rows to a mature Benelux recommerce territory. Strict/main rails are Books in Belgium, Boekwinkeltjes.be, and Stubooks; lower layers include BoekenBalie, Recyclivre, De Slegte, Pêle-Mêle, Livr'Ensemble, CLAM-BBA, Fnac used/marketplace, Studieshop, 2ememain, Aanbod, and social groups.",1,high:9; medium-high:4; medium:2; low-medium:1,"Mature Benelux used-book/recommerce ecosystem with a Belgium-native used-book marketplace, Belgium-scoped antiquarian/private-seller marketplaces, specialized student textbook resale, strong buyback/resale operators, used-book chains, and horizontal/social spillover.","Pass177 filled URL/evidence gaps for Books in Belgium and 2ememain, added missing strict/main rails (Boekwinkeltjes.be and Stubooks), captured ISBN samples from Boekwinkeltjes/BoekenBalie, and closed Belgium to broad searching except targeted future extraction."
Belize,Central America,single-store used / bookstore signal,annex / classifieds; offline / fair / literacy layer; single-store used / bookstore signal,5,5,0,0,0,0,3,1,,1,medium:5,"Territory with mixed store-owned used-book or exchange signal, but not a clean marketplace case.",bookstore + event ecology
Benin,West Africa,weak-fit core,annex / classifieds; main universe; single-store used / bookstore signal; weak-fit core,5,5,1,2,0,0,1,1,"main universe: La Friperie du Livre | single-store used / bookstore signal: Vente & Troc de livres à Cotonou | annex / classifieds: CoinAfrique Benin — DVDs, CDs & Livres",0,high:2; low:1; medium:2,Strict main-universe / used-book or book-specific marketplace territory under South America-style definition.,Runtime-gap bridge reconstruction pass. Rows are web-reverified in this chat and do not recover exact missing 2026-04-24 chat-only rows.
Bermuda,Caribbean,offline / fair / literacy layer,annex / classifieds; offline / fair / literacy layer; single-store used / bookstore signal,11,11,0,0,0,0,4,2,,5,medium:11,"Territory with mixed store-owned used-book or exchange signal, but not a clean marketplace case.",no strong native specialist marketplace; strong bookstore layer; active general-marketplace annex; very strong library / literary / educational infrastructure
Bhutan,South Asia,offline / fair / literacy layer,offline / fair / literacy layer; weak-fit core,3,3,0,1,0,0,0,0,,2,high:1; medium:2,Weak-fit / book-forward territory without enough concentration to dominate as main universe.,Bhutan literature-and-arts festival and year-round literary initiative. || Visible university library/catalogue rail; included as supporting literacy infrastructure. || Recovered from frontier shorthand 'Booknese plus small real bookstore layer'.
Bonaire,Caribbean,single-store used / bookstore signal,annex / classifieds; offline / fair / literacy layer; single-store used / bookstore signal,5,5,0,0,0,0,3,1,,1,medium:5,"Territory with mixed store-owned used-book or exchange signal, but not a clean marketplace case.",library-centered
Bosnia and Herzegovina,CEE/Balkans,annex / classifieds,annex / classifieds; single-store bookstore layer; single-store used / bookstore signal; single-store used booksellers,8,8,0,0,1,3,1,3,"Pass151 opened Bosnia and Herzegovina from zero row surface. OLX.ba has very large live book/literature category depth and used-condition filters, while Facebook groups and Used Books Sarajevo/Knjizara_nora preserve social and single-seller used-book texture. No strict/main book-specific used-book marketplace or recommerce platform was confirmed.",0,high:4; medium-high:1; medium:3,Zero-surface territory opened into a horizontal-classifieds and bookstore-layer profile: strong OLX.ba book-category depth but no strict-main book-specific recommerce rail yet.,Pass151 Bosnia-and-Herzegovina-only zero-surface opening. Keep future revisits targeted to native book-specific used/recommerce platforms or deeper OLX specialist/ISBN metadata proof.
Botswana,Southern Africa,weak-fit core,annex / classifieds; offline / fair / literacy layer; single-store bookstore layer; single-store used booksellers; weak-fit core,10,10,0,3,1,2,0,3,Deepening pass found used/pre-owned/social-sale signals; no book-specific platform-level used/recommerce marketplace was promoted to strict core.,1,high:5; low-medium:1; medium:4,"Botswana deepened through a used-books social group, Facebook Marketplace and ecommerce/bookstore texture; Pages & Projects remains the stronger single-store pre-loved node.",Next hardening should test whether any social/group/category surfaces have open third-party book listing/search/payment/delivery mechanics beyond ordinary Facebook/classifieds flow.
Brazil,South America,main universe,annex / classifieds; main universe; single-store used booksellers; weak-fit core,20,20,6,4,5,0,0,5,"Brazil has a strong specialist used/new book marketplace layer (Estante Virtual, Portal dos Livreiros, LeuVendeu, Seboweb, Troca de Livros, EscamBook) plus large horizontal resale spillover and major single-store sebo texture.",0,high:17; medium-high:3,"Main-universe territory with multiple specialist book-specific marketplace/exchange rails, education/textbook weak-fit app texture, large single-store sebo layer, and horizontal marketplace/classifieds spillover.",Pass145 upgraded Seboweb to high strict-candidate on current marketplace/account evidence and added EscamBook as a book-specific peer-exchange strict candidate. EstudeiVendi remains weak-fit education marketplace; Bazar remains single-store/operator; Skoob Plus recorded only as paused non-promotion context.
British Virgin Islands,Caribbean,single-store used / bookstore signal,offline / fair / literacy layer; single-store used / bookstore signal,4,4,0,0,0,0,3,0,,1,medium:4,"Territory with mixed store-owned used-book or exchange signal, but not a clean marketplace case.",bookstores + literacy programs
Brunei,Southeast Asia,single-store bookstore layer,single-store bookstore layer; weak-fit core,1,2,0,1,0,1,0,0,,0,medium:2,Weak-fit / book-forward territory without enough concentration to dominate as main universe.,Current-session controlled pass: also serves as weak-fit core. || Current-session controlled pass classified Brunei as compact weak-fit.
Bulgaria,CEE/Balkans,main universe,main universe,1,1,1,0,0,0,0,0,,0,high:1,Main-universe territory with supporting lower layers preserved in the compile.,Recomputed from normalized explicit-row compile.
Burkina Faso,West Africa,annex / classifieds,annex / classifieds; weak-fit core,2,2,0,1,0,0,0,1,"annex / classifieds: CoinAfrique Burkina Faso — DVDs, CDs & Livres",0,high:1; low:1,Weak-fit / classifieds-led territory without a confirmed book-specific used marketplace in this compact pass.,Runtime-gap bridge reconstruction pass. Rows are web-reverified in this chat and do not recover exact missing 2026-04-24 chat-only rows.
Burundi,Great Lakes / Central-East Africa,single-store bookstore layer,annex / classifieds; single-store bookstore layer; weak-fit core,6,6,0,2,0,3,0,1,"Used-book/recommerce signal present where noted; strict core only assigned to book-specific used/recommerce rails, not ordinary retail or general classifieds.",0,high:1; low-medium:2; medium:3,"Burundi remains sparse: Bujumbura bookstore and religious-distribution layers are visible, plus Facebook/Ubuy import/classified texture, but no strict used-book marketplace.","Revisit for Bujumbura book-specific sale/exchange groups, schoolbook resale, and whether Shopit/Lubaga-style ecommerce carries books locally."
Cambodia,Southeast Asia,single-store bookstore layer,annex / classifieds; single-store bookstore layer; single-store used booksellers; weak-fit core,5,7,0,2,1,3,0,1,,0,medium:7,Weak-fit / book-forward territory without enough concentration to dominate as main universe.,Current-session controlled pass. || Current-session controlled pass classified Cambodia as compact weak-fit.
Cameroon,Central Africa / West-Central Africa,annex / classifieds,annex / classifieds; main universe; offline / fair / literacy layer; single-store bookstore layer; weak-fit core,20,20,1,4,0,4,0,10,"Pass126 strengthened used/social/classifieds texture with Camerooncom, two Facebook used/exchange groups, Lire à Douala ephemeral used-book sale, and student used-book seam. CamerBookshop remains the only book-specific strict candidate, but used-book specialization is not proven.",1,low:2; medium:8; medium-high:3; medium-low:7,"Cameroon is now a targeted hardening territory rather than a broad reopen: one book-specific seller/request rail candidate, multiple general classifieds/social used-book rails, ordinary book ecommerce, and several bookstore/social commerce nodes. No new strict-main used/recommerce platform was promoted in pass126.","Reopen only for CamerBookshop seller-listing/payment proof, used/consignment inventory, or a fresh Cameroon-native book-specific used/recommerce platform; keep horizontal/social surfaces annexed."
Cape Verde / Cabo Verde,West Africa / Lusophone Atlantic,single-store bookstore layer,annex / classifieds; offline fair/literacy layer; single-store bookstore layer; weak-fit core,18,18,0,1,0,8,0,5,"Used/resale signals are present but social/classifieds/exchange-led: Facebook Marketplace item surfaces, general Compra e Venda groups, Afribaba classifieds, book-bank/donation and tourist/expat book-swap traces. No book-dominant used marketplace or seller-onboarding book rail verified.",0,low:1; medium:5; medium-high:5; medium-low:7,"Cabo Verde has a materially stronger bookshop and institutional book-access ecosystem than the immediately preceding small West African territories. However, confirmed used-book resale remains fragmented across social/classifieds/exchange rails, not a dedicated used-book marketplace.","Compact pass 1 found no strict main-universe site. Revisit should focus on Praia/Mindelo textbook resale, WhatsApp/Facebook book-trade groups, and consignment/used-book practices at local bookstores."
Cayman Islands,Caribbean,annex / classifieds,annex / classifieds; offline / fair / literacy layer; single-store used / bookstore signal,5,5,0,0,0,0,2,2,,1,medium:5,"Territory with mixed store-owned used-book or exchange signal, but not a clean marketplace case.","strong overall book infrastructure, weak marketplace depth"
Central African Republic,Central Africa / West-Central Africa,annex / classifieds,annex / classifieds; offline fair/literacy layer; single-store bookstore layer; weak-fit core,7,7,0,1,0,2,0,3,Only item-level social Marketplace evidence found.,0,low:4; medium-low:3,"CAR remains thin: Facebook Marketplace item-level book listings and Ubuy exist, plus literary/blog/social bookstore traces, but no book-specific used marketplace or local marketplace mechanics.",Revisit only after larger markets unless a Bangui schoolbook resale group or used-book seller surface is recovered.
Chad,Central Africa / West-Central Africa,annex / classifieds,annex / classifieds; single-store bookstore layer; single-store used bookstore signal; weak-fit core,10,10,0,2,0,2,0,5,"Banque des livres TCHAD supports used/school-manual surface; Nibiya and All Chad support new/used horizontal classifieds, including Nibiya Livres & loisirs category, but no strict book-specific marketplace rail.",0,low:3; medium:3; medium-high:3; medium-low:1,"Chad has current horizontal classifieds (Nibiya, All Chad/Souq Al Kul), a confirmed but non-marketplace bookstore layer (La Source, Livres du TCHAD), an official ebook-shop surface (Le Carré culturel), and a used-manual signal (Banque des livres TCHAD). It remains outside verified strict main universe.","Pass108 hardening: no strict-main promotion; Chad lowered to targeted revisit for book-category depth, schoolbook resale, seller-onboarding, or direct book-specific used/recommerce rail."
Chile,South America,main universe,main universe; weak-fit core,5,5,4,1,0,0,0,0,,0,high:5,Main-universe territory with supporting lower layers preserved in the compile.,Explicit weak-fit core in bundled prior transcript.
China (mainland),East Asia,weak-fit core,annex / classifieds; main universe; offline / fair / literacy layer; used-book signal (territory note); weak-fit core,21,21,7,11,0,0,0,1,"Pass146: mainland China has a dense strict spine spanning specialist marketplace (Kongfz/7788), peer book resale/exchange (Jiushujie), and operator-managed circular-book recommerce (Duozhuayu, Xiaoguya, Manyoujing, Yushu). Horizontal resale remains annex only.",1,high:11; medium:10,Dense main-universe used-book/recommerce territory with multiple strict book-specific rails plus large retail/digital shadows. Boundary model separates specialist/P2P/operator-managed book recommerce from ordinary new-book retail and horizontal classifieds.,"Pass146 moved China down from medium-high to medium-low targeted revisit: added Manyoujing and Yushu, upgraded Xiaoguya, reaffirmed Kongfz/Duozhuayu/Jiushujie, and retained Youlu as a hold pending direct current inventory/account-flow proof."
Colombia,South America,main universe,main universe,3,3,3,0,0,0,0,0,,0,high:3,Main-universe territory with supporting lower layers preserved in the compile.,Recomputed from normalized explicit-row compile.
Comoros,Indian Ocean / Comoros,external spillover / out-of-scope texture,annex / classifieds; external spillover / out-of-scope texture; weak-fit core,4,4,0,1,0,0,0,1,"Used-book/recommerce signal present where noted; strict core only assigned to book-specific used/recommerce rails, not ordinary retail or general classifieds.",0,low:3; low-medium:1,Comoros remains non-core: only item-level Facebook Marketplace evidence and Ubuy/import retail were found; Alibris/Amazon are external subject spillover only.,"Revisit only if local Moroni bookshop, schoolbook resale groups, or Comorian social commerce book rails surface."
Costa Rica,Central America,weak-fit core,annex / classifieds; main universe; offline / fair / literacy layer; single-store used / bookstore signal; weak-fit core,6,6,1,2,0,0,1,1,,1,high:3; medium:3,Main-universe territory with supporting lower layers preserved in the compile.,"Explicit weak-fit core in checkpoint matrix. || Coverage matrix shorthand used Buscalibre CR. || thin platform, stronger store/fair layer"
Croatia,CEE/Balkans,single-store used booksellers,annex / classifieds; annex / social marketplace; annex / social resale; offline / fair / literacy layer; single-store bookstore layer; single-store used booksellers; weak-fit core,14,14,0,1,7,2,0,3,No strict-main Croatia-native book-specific third-party recommerce platform verified. Strong used-book texture is horizontal classifieds/auction/social plus dense antikvarijat/single-operator used-book stores.,1,high:8; medium-high:4; medium:2,No-strict-main Croatia profile with strong horizontal classifieds/auction rails and dense single-store antikvarijat/used-book infrastructure.,"Pass193 hardening: updated Hoću knjigu/Znanje and added Njuškalo, Aukcije.hr, Facebook/social resale, multiple antikvarijat/used-book stores, and Interliber. Targeted revisit only."
Cuba,Caribbean,annex / classifieds,annex / classifieds; offline / fair / literacy layer; weak-fit core,5,5,0,1,0,0,0,2,,2,medium:5,Weak-fit / book-forward territory without enough concentration to dominate as main universe.,"System-level weak-fit rail rather than a single commercial marketplace. || high institutional infrastructure, low open-marketplace depth"
Curaçao,Caribbean,annex / classifieds,annex / classifieds; offline / fair / literacy layer; single-store used / bookstore signal; weak-fit core,6,6,0,1,0,0,2,2,,1,medium:6,Weak-fit / book-forward territory without enough concentration to dominate as main universe.,Lightly verified weak-fit entry in checkpoint matrix. || bookstore / library / festival heavy
Cyprus,Greece-Cyprus-Turkey,no-strict-main; single-store used/bookstore + horizontal/social annex,offline / fair / literacy layer; single-store bookstore layer; single-store used bookseller; single-store used/rare bookstore signal; charity / thrift used-book layer; annex / horizontal marketplace; annex / classifieds; annex / social book-sale groups,11,11,0,0,4,2,1,2,"No standalone Cyprus-native book-specific third-party recommerce marketplace found. Current used-book texture is concentrated in Moufflon, Anna, Rüstem, thrift/charity, social swap, and broad classifieds/horizontal rails.",READ Digital Library plus Buy a Book Save a Stray charity book-bazaar/event layer.,high/medium-high,"Targeted cleanup/hardened no-strict-main Eastern Mediterranean microterritory: meaningful used-book and book-culture texture, but no native book-specific marketplace promotion.","Pass185 Cyprus targeted cleanup. URLs/evidence added for READ, SREDA, Moufflon, Soloneion; added Vendora.cy and Bazaraki as horizontal annex, Anna/Rüstem/Thrift Store Cyprus as used/charity single-store layers, Cyprus Book Swap as social annex, and Buy a Book Save a Stray as charity event. Broad Cyprus search can pause except targeted future monitoring for true book-specific recommerce platform."
Czechia,Baltics/CEE,main universe,main universe,2,2,2,0,0,0,0,0,,0,high:2,regional sprint touched; strict-main promotions only where current used-book marketplace/recommerce mechanics were evidenced,Pass148 promoted Knihobot/Bookbot from weak-fit to main universe on current buy/sell used-books evidence; TrhKnih remains the other strict spine row.
Côte d'Ivoire,West Africa,single-store used booksellers,annex / classifieds; single-store used / bookstore signal; single-store used booksellers; weak-fit core,5,5,0,1,2,0,1,1,"single-store used booksellers: La Bouquinerie d'Abidjan, Livres d'Occasion Abidjan | single-store used / bookstore signal: Lis-Moi — Livres d'occasion | annex / classifieds: CoinAfrique Côte d'Ivoire — DVDs, CDs & Livres",0,high:1; medium:4,"Weak-fit / mixed book-forward territory with classifieds, bookstore, and/or used-book signals but limited strict marketplace evidence.",Runtime-gap bridge reconstruction pass. Rows are web-reverified in this chat and do not recover exact missing 2026-04-24 chat-only rows.
Democratic Republic of the Congo,Central Africa / West-Central Africa,annex / classifieds,annex / classifieds; single-store bookstore layer; weak-fit core,13,13,0,3,0,5,0,5,Resale evidence remains general classifieds/social spillover; no book-dominant used marketplace confirmed.,0,low:2; medium:4; medium-high:1; medium-low:6,"DRC has broad CoinAfrique activity, meaningful Congolese online book-distribution through Alibooks, and a thicker Kinshasa bookstore/mobile-bookstore layer. No verified book-specific used marketplace or open third-party seller rail was recovered in pass104.","Revisit only for Alibooks/Kicherche seller integration, Kinshasa WhatsApp/social book sellers, schoolbook resale, or direct third-party/used/consignment mechanics."
Denmark,Western Europe / Nordics,single-store used booksellers,annex / classifieds; annex / social classifieds; annex / social marketplace; main universe; single-store used booksellers; weak-fit core,18,18,4,1,8,0,0,5,Pass168 opened Denmark as a strong strict-main Nordic territory. Bogbasen is Denmark-native strict main; Saxo supplies a very large used-book/member-resale rail; Antikvariat.net and Bogtorvet add association/antikvariat marketplace layers; DBA/Gul&Gratis/social groups add annex circularity; dense local antikvariat sellers remain single-store layers.,0,high:13; medium-high:5,"Strong strict-main / mature recommerce territory with book-specific used-book platforms, antiquarian aggregators, horizontal classifieds, student resale rails, and dense local used-book sellers.",Opened in pass168 after Ireland closure. Denmark should not need broad immediate continuation; targeted future work should focus on ISBN/detail extraction from Bogbasen/Saxo/Bogtorvet/Antikvariat.net and whether any additional native app-only P2P book rails surface.
Djibouti,Horn of Africa,weak-fit core,annex / classifieds; single-store bookstore layer; weak-fit core,5,5,0,2,0,2,0,1,"Used-book/recommerce signal present where noted; strict core only assigned to book-specific used/recommerce rails, not ordinary retail or general classifieds.",0,high:1; medium:3; medium-high:1,Djibouti has a clear bookstore layer through Librairie Victor Hugo/Discorama plus Ubuy and Facebook Marketplace texture; no strict used/recommerce rail found.,"Revisit for Librairie Victor Hugo used-books/consignment, local schoolbook resale, and Arabic/French social sale groups."
Dominica,Caribbean,annex / classifieds,annex / classifieds; offline / fair / literacy layer; single-store used / bookstore signal,3,3,0,0,0,0,1,1,,1,medium:3,"Territory with mixed store-owned used-book or exchange signal, but not a clean marketplace case.",library/festival heavy
Dominican Republic,Caribbean,annex / classifieds,annex / classifieds; main universe; offline / fair / literacy layer; single-store used / bookstore signal; weak-fit core,8,8,1,2,0,0,1,2,,2,high:3; medium:5,Main-universe territory with supporting lower layers preserved in the compile.,Explicit weak-fit core in checkpoint matrix. || Exact site recovered from compact coverage matrix rather than fuller transcript cut. || modest platform layer
Ecuador,South America,main universe,main universe,1,1,1,0,0,0,0,0,,0,high:1,Main-universe territory with supporting lower layers preserved in the compile.,Recomputed from normalized explicit-row compile.
Egypt,North Africa / Maghreb,single-store used booksellers plus horizontal/social resale; no strict-main candidate,annex / classifieds; annex / social resale; main universe; offline / fair / literacy layer; single-store used booksellers; weak-fit core,26,26,3,2,11,0,0,8,"Pass203 hardened Egypt as dense no-strict-main: current used-book evidence is strong across Azbakeya-style operator inventory, Arabic used-book ecommerce, Alexandria/Cairo used-book shops, horizontal classifieds/swap platforms, and Facebook groups. No verified Egypt-native book-specific third-party marketplace mechanics found.",2,high:15; medium:2; medium-high:9,"Egypt has one of the richest used-book textures in North Africa: Soor al-Azbakeya/market culture, operator ecommerce stores, local used-bookshops, public-library/fair layers, and broad horizontal/social resale. 4Swapp/dubizzle/Facebook demonstrate user listing and contact mechanics but are not book-specific; Azbakeya/Ay7aaga/Rahaala/Bookworm/Maadi/BookSpot are operator-store layers. Pass203 closes the current strict-main search unless fresh native book-specific platform evidence appears.",Pass203 Egypt targeted hardening complete: no strict-main promotion; revisit lowered to low; future work only provincial/dealer texture unless fresh marketplace proof appears.
El Salvador,Central America,annex / classifieds,annex / classifieds; offline / fair / literacy layer; single-store used / bookstore signal; weak-fit core,4,4,0,1,0,0,1,1,,1,high:1; medium:3,Weak-fit / book-forward territory without enough concentration to dominate as main universe.,Explicit weak-fit core in checkpoint matrix. || fair/shop ecology
Equatorial Guinea,Central Africa / Gulf of Guinea,annex / classifieds,annex / classifieds; offline fair/literacy layer; single-store bookstore layer; weak-fit core,10,10,0,1,0,3,0,3,Resale evidence is Facebook Marketplace item-level only in Malabo/Bata plus occasional general group book posts. No book-dominant used marketplace or seller rail verified.,0,high:2; low:1; medium:2; medium-low:5,"Equatorial Guinea has a clearer bookstore/cultural-institution layer than several neighboring small markets, but resale is still social/item-level rather than platform-level.","Compact pass 1 found no strict main-universe site. Revisit should focus on Malabo/Bata textbook resale, WhatsApp groups, and whether local bookstores/publishers run consignment or used-book sale programs."
